"company/description","company/id","company/logo","company/name","description","jobDescriptionHtml","location","postDate","title"
"PT Santosa Agrindo (Japfa Beef Division)","60338070","https://bx-branding-gateway.cloud.seek.com.au/cef997b8-237c-4ef1-bdd3-180c7b757463.1/serpLogo","Santosa Agrindo","Bergabung dengan tim kami dan nikmati benefit kompetitif, lingkungan kerja yang dinamis, dan kesempatan pengembangan karir yang jelas.","<div class=""lsj4yq0 _1lpkkfn0""><h2><strong>Uraian tugas</strong></h2><ul><li><p>Membuat dan melakukan maintenance <strong>dashboard Beef</strong> dan <strong>Reporting Dashboard Qlik Sense</strong>.</p></li><li><p>Mengelola dan memelihara <strong>Data Warehouse</strong> perusahaan.</p></li><li><p>Melakukan maintenance <strong>data pipeline</strong> dari berbagai data source ke <strong>Snowflake</strong>.</p></li><li><p>Mengelola dan mengembangkan <strong>function serta procedure di Snowflake</strong> sesuai kebutuhan dashboard.</p></li><li><p>Melakukan monitoring kualitas data untuk memastikan akurasi dan konsistensi informasi.</p></li><li><p>Berkolaborasi dengan tim terkait dalam pengembangan dashboard dan solusi Business Intelligence.</p></li></ul><p><strong>Kualifikasi</strong></p><ul><li><p>Pendidikan minimal <strong>S1 Sistem Komputer / Teknik Informatika / bidang terkait</strong>.</p></li><li><p>Fresh Graduate dipersilakan melamar (pengalaman sebagai <strong>Business Intelligence Analyst</strong> menjadi nilai tambah).</p></li><li><p>Memiliki pemahaman mengenai <strong>Data Warehouse dan Business Intelligence</strong>.</p></li><li><p>Menguasai atau familiar dengan:</p><ul><li><p><strong>Qlik Sense</strong></p></li><li><p><strong>Dashboard Development</strong></p></li><li><p><strong>Snowflake</strong></p></li><li><p><strong>Data Pipeline</strong></p></li></ul></li><li><p>Mampu menganalisis data dan menyajikan informasi dalam bentuk dashboard yang informatif.</p></li><li><p>Mampu bekerja secara mandiri maupun dalam tim.</p></li><li><p>Memiliki komunikasi yang baik, teliti, dan bertanggung jawab.</p></li><li><p>Bersedia ditempatkan di Cengkareng, Jakarta Barat</p></li></ul><p><br></p></div>","Cengkareng, Jakarta Raya","2026-01-27T05:06:58Z","IT Staff"
"PT Environmental Indokarya","60863190","https://bx-branding-gateway.cloud.seek.com.au/b137d165-ec65-453e-9cc4-e573ac7fd908.1/serpLogo","Environmental Indokarya","If you relish challenges and seek ample opportunities for growth, we invite you to join us.","<div class=""lsj4yq0 _1lpkkfn0""><p>The <strong>Digitalization Officer</strong> is responsible for driving data collection, analysis, and visualization initiatives to support operational efficiency and client transparency. The role focuses on gathering project-related data, developing and maintaining dashboards (particularly using <strong>Power BI</strong>), and providing meaningful insights to management and clients to showcase operational performance and continuous improvement.</p><h2><strong>Key Responsibilities:</strong></h2><p><strong>1. Data Management and Collection</strong></p><ul><li><p>Coordinate with project teams to collect, validate, and consolidate operational and performance data from various sources.</p></li><li><p>Ensure data accuracy, completeness, and consistency across all reporting platforms.</p></li><li><p>Develop standardized templates and tools for project data submission and tracking.</p></li></ul><p><strong>2. Data Visualization and Reporting</strong></p><ul><li><p>Design, build, and maintain <strong>Power BI dashboards</strong> to visualize project and operational performance.</p></li><li><p>Present data insights and performance indicators to internal stakeholders and clients in a clear and professional manner.</p></li><li><p>Automate recurring reports and develop interactive visual tools to support decision-making.</p></li></ul><p><strong>3. Digitalization Initiatives</strong></p><ul><li><p>Support the implementation of digital tools and platforms to enhance operational efficiency and data-driven management.</p></li><li><p>Collaborate with cross-functional teams to identify digital solutions for process optimization and reporting improvements.</p></li><li><p>Participate in digital transformation projects, including workflow automation and data integration initiatives.</p></li></ul><p><strong>4. Performance Monitoring and Analysis</strong></p><ul><li><p>Track and analyze key performance indicators (KPIs) for ongoing projects.</p></li><li><p>Provide data-driven recommendations to improve operational effectiveness and client satisfaction.</p></li><li><p>Support management reviews and client presentations with up-to-date performance data.</p></li></ul><p><strong>5. Compliance and Documentation</strong></p><ul><li><p>Maintain proper documentation of data sources, methodologies, and dashboards.</p></li><li><p>Ensure compliance with company data governance, confidentiality, and security policies.</p></li></ul><h2><strong>Qualifications and Experience:</strong></h2><ul><li><p>Bachelor’s degree in Information Technology, Data Analytics, Business Administration, or related field.</p></li><li><p>Proven experience (2–4 years) in data management, business intelligence, or digital transformation roles.</p></li><li><p>Proficiency in <strong>Microsoft Power BI</strong>, Excel (advanced), and data visualization tools.</p></li><li><p>Familiarity with databases, data cleaning, and integration tools (e.g., SQL, SharePoint, Power Automate) is an advantage.</p></li><li><p>Strong analytical thinking, attention to detail, and problem-solving skills.</p></li><li><p>Excellent communication and presentation abilities for both internal and client-facing reporting.</p></li></ul><h2><strong>Core Competencies:</strong></h2><ul><li><p>Data-driven mindset and analytical approach.</p></li><li><p>Strong digital literacy and interest in emerging technologies.</p></li><li><p>Collaboration and teamwork across departments.</p></li><li><p>Proactive attitude and ability to manage multiple priorities.</p></li><li><p>Commitment to accuracy, quality, and continuous improvement.</p></li></ul><p><br></p></div>","Jakarta Selatan, Jakarta Raya","2026-02-03T09:06:16Z","Digitalization Officer"
"Rahi Systems Pte. Ltd.","60553118","https://bx-branding-gateway.cloud.seek.com.au/f60a7255-4864-4a4b-b0aa-96aa2ad885d3.1/serpLogo","Rahi Systems","You will be managing data center services for a Giant Tech MNC.","<div class=""lsj4yq0 _1lpkkfn0""><p>Responsibilities<br>• Hardware Support - Installations, Move, Add, Change<br>• Decommission of IT equipment (networks, servers, networks, storage, backup devices)<br>• Media management - HDD/SSD Destruction and Disposals<br>• Connect and disconnect patch cables to equipment in DC<br>• Server Hardware break fix support - Installation of parts, reseat module, SFP module replacement including HDD / Memory / Mainboard, etc.<br>• Regular physical / visual inspection equipment and data center operations facilities<br>• Provide onsite support during scheduled maintenance / change events<br>• Troubleshooting of issues for IT and network related equipment<br>• Inventory management of RMA, cold spares, equipment and tools<br>• Vendor Management - Coordination, Vendor Supervision<br>• DC Access Request Management<br>• POP Site operations support and standby<br>• Provide regular reporting on progress as required (move, change, support request and change) and develop continuously improvement capabilities<br>• Provide after business hours support based on on-call schedule and shift work when required<br>• Any other duties as assigned<br>&nbsp;</p><p>Requirements<br>• Minimum of 1 -3 years’ experience working in the Data Centre operations space<br>• Good understanding and knowledge in data structured cabling and patching<br>• Experienced in hardware support, breakfix and troubleshooting.<br>• Ability to respond to issues and provide timely updates, and escalation<br>• Experience working in a large-scale critical environment is a plus<br>• Fresh graduates with adequate knowledge are welcomed to try<br>&nbsp;</p><p>Advantageous Skills &amp; Knowledge<br>• Rack, space, power and cooling allocations for new install or relocation requests<br>• Capacity management (space, power, cooling, patch panel port availability)<br>• Incident / Change Management Process<br>• Understanding of DC Space, Power, Cooling Management<br>• Certifications eg. CDCP, ITIL, Server+, Linux+, Network+, A+, CCNA.</p></div>","Karawang, Jawa Barat","2026-01-29T03:51:33Z","Data Center Operations Technician (Jakarta, 24/7 shift)"
"PT Intergastra Nusantara","60865279","https://bx-branding-gateway.cloud.seek.com.au/0f29e4f4-4408-48c7-a58f-45ed431b8bd0.1/serpLogo","Intergastra Nusantara","Bergabunglah dengan tim IT kami yang dinamis! Kami tawarkan gaji kompetitif, tunjangan menarik, dan peluang pengembangan karier.","<div class=""lsj4yq0 _1lpkkfn0""><p><strong>Gambaran Umum Pekerjaan</strong><br>Kami dari PT Intergastra Nusantara, perusahaan yang bergerak di bidang Distributor Alat Kesehatan di Indonesia, sedang mencari profesional IT Staff yang berdedikasi untuk bergabung dengan tim kami di Jakarta. Dalam peran ini, Anda akan memainkan peran kunci dalam memastikan kelancaran operasional sistem dan infrastruktur jaringan perusahaan kami.</p><p><strong>Tanggung Jawab Utama</strong></p><ul><li><p>Manajemen Jaringan &amp; Server: Instalasi, konfigurasi, dan pemeliharaan LAN, Wi-Fi, VPN, Active Directory, serta email server dari tahap awal (zero/from scratch).</p></li><li><p>Pemeliharaan Teknis: Melakukan troubleshooting dasar pada perangkat keras (hardware) maupun perangkat lunak (software).</p></li><li><p>Administrasi &amp; Inventaris: Bertugas sebagai IT Admin, mengelola inventaris perangkat IT, serta melakukan entri data dengan rapi, teliti, dan akurat.</p></li><li><p>Pengembangan Perangkat Lunak (Opsional): Membantu dalam tugas pemrograman dasar sesuai kebutuhan tim.</p></li></ul><p><strong>Kualifikasi</strong></p><ul><li><p>Minimal lulusan Diploma (D3) atau Sarjana (S1) di bidang Teknologi Informasi atau bidang terkait.</p></li><li><p>Terbuka bagi lulusan baru (fresh graduate) hingga kandidat dengan pengalaman maksimal 3 tahun.</p></li><li><p>Menguasai setup jaringan (LAN, Wi-Fi, VPN), konfigurasi email server, serta pengelolaan Active Directory.</p></li><li><p>Memiliki pemahaman yang baik mengenai hardware dan software support.</p></li><li><p>Mahir menggunakan Microsoft Office (Word, Excel, PowerPoint) dan Microsoft Outlook.</p></li><li><p>Memiliki kemampuan coding dasar (programming) sebagai nilai tambah.</p></li><li><p>Komunikatif, teliti, rapi, serta mampu bekerja secara kolaboratif dalam tim.</p></li></ul><p>PT Intergastra Nusantara adalah pemain terkemuka di industri Distributor Alat Kesehatan di Indonesia. Dengan pengalaman lebih dari 20 tahun, kami telah membangun reputasi kuat sebagai penyedia produk berkualitas tinggi dan inovatif.&nbsp;<br><br>Tim kami yang beragam dan berdedikasi merupakan aset utama kami. Kami menawarkan lingkungan kerja yang inklusif, kolaboratif, dan mendukung untuk memungkinkan karyawan kami mencapai potensi penuh mereka. Jika Anda tertarik untuk bergabung dengan kami dan menjadi bagian dari perjalanan pertumbuhan kami, lamar sekarang!</p></div>","Jakarta Raya","2026-01-29T07:41:07Z","IT Staff"
"PT Teka P & T International","60913787",,"Teka P & T International","Support daily IT operations by installing, maintaining, and troubleshooting hardware, software, networks, Odoo support, and basic IT security.","<div class=""lsj4yq0 _1lpkkfn0""><p>Job Requirements:</p><ol><li><p>Minimum Diploma (D3) degree in Information Technology, Informatics Engineering, Information Systems, or a related field.</p></li><li><p>Strong understanding of hardware and software troubleshooting (PCs, laptops, printers, and Windows operating systems).</p></li><li><p>Proficient in computer networking (LAN, Wi-Fi, IP address configuration, and file sharing).</p></li><li><p>Basic understanding of programming, especially the Odoo ERP system (Python, XML, JavaScript) and databases.</p></li><li><p>Basic understanding of information technology security, including antivirus use, data backup, and user access management.</p></li><li><p>Strong analytical and problem-solving skills.</p></li><li><p>Able to work independently and in a team.</p></li><li><p>Good communication skills, professionalism, and customer service orientation.</p></li><li><p>Strong leadership, responsibility, and work ethic.</p></li><li><p>Able to converse in English (basic is still appreciated)</p></li></ol><p><br></p><p>Job Description:</p><ol><li><p>Install, configure, and maintain IT devices (PCs, laptops, printers).</p></li><li><p>Handle troubleshooting for operating systems, applications, email, and internet connections.</p></li><li><p>Support and maintain LAN/Wi-Fi networks and user access.</p></li><li><p>Provide technical support related to hardware, software, systems, and networks.</p></li><li><p>Provide support related to user requests related to Odoo.</p></li><li><p>Implement basic IT security and data backup procedures.</p></li><li><p>Perform routine maintenance and system monitoring.</p></li><li><p>Document issues and solutions, and coordinate with vendors when necessary.</p></li></ol><p><br></p></div>","Jakarta Selatan, Jakarta Raya","2026-02-06T06:28:16Z","IT Staff"
"PT Pro Energi","60388644","https://bx-branding-gateway.cloud.seek.com.au/a3f41f4e-eeb6-4d64-8103-c872d96c773c.1/serpLogo","Pro Energi","mengembangkan infrastruktur IT perusahaan agar dapat mendukung operasional, serta berperan aktif dalam inisiatif strategis IT dan pengembangan sistem","<div class=""lsj4yq0 _1lpkkfn0""><p><strong>Job Qualifications:</strong></p><ul><li><p>Pendidikan minimal S1 jurusan Ilmu Komputer atau jurusan terkait lainnya</p></li><li><p>Menguasai Cloud Server (Computing &amp; Storage)</p></li><li><p>Menguasai network maintenance tools seperti Mikrotik, Prometheus dan Gravana</p></li><li><p>Menguasai tools kontainerisasi (docker / kubernetes) dan virtualisasi (proxmox dan VMware)</p></li><li><p>Menguasai hosting tools, seperti domain, web security, Cpanel, SSL</p></li><li><p>Menguasai VPN network untuk komunikasi antar jaringan</p></li><li><p>Mampu berkomunikasi dan memberikan service yang baik ke user</p></li></ul><p><strong>Job Description:</strong></p><ul><li><p>Mengelola &amp; memonitor infrastruktur IT, seperti Hardware, software, network dan security</p></li><li><p>Menangani troubleshooting infrastruktur dan sistem yang berada di kantor pusat maupun di cabang dan memastikan performa sistem IT berjalan optimal</p></li><li><p>Melakukan maintenance, backup data, dan update sistem secara rutin</p></li><li><p>Mengimplementasikan standar IT security dan data protection</p></li><li><p>Mengumpulkan kebutuhan user terkait sistem dan aplikasi</p></li><li><p>Berkoordinasi dengan vendor IT untuk men-support infrastruktur dan perbaikan sistem</p></li><li><p>Mengelola user access, inventory IT asset, dan dokumentasi sistem</p></li><li><p>Memasang, meng-konfigurasi, dan mendukung peralatan jaringan termasuk router, server, Firewall, proxy, WAN, DNS, dan DHCP.</p></li><li><p>Meng-konfigurasi jaringan firewall dan routing untuk memaksimalkan efisiensi dan keamanan jaringan</p></li><li><p>Memaksimalkan kinerja jaringan melalui maintenance, pemantauan, dan pemecahan masalah yang berkelanjutan</p></li></ul><p><br></p></div>","Jakarta Raya","2026-01-23T08:53:18Z","IT Infrastructure & Security Staff"
"PT Ocean Digital Innovation","63122514","https://bx-branding-gateway.cloud.seek.com.au/608198fe-11f2-4fd3-9577-21ddad99d779.1/serpLogo","PT Ocean Digital Innovation","Technical Consultant Trainee bertugas untuk mendukung solusi teknis Oracle ERP/HCM: report, integrasi, migrasi data, dan troubleshooting sistem.","<div class=""lsj4yq0 _1lpkkfn0""><p>Job Description :</p><p>Sebagai Oracle Technical Consultant Trainee, anda akan mendapatkan pelatihan dan bimbingan langsung dari konsultan senior untuk mendesain, mengembangkan, dan mendukung komponen teknis dalam sistem Oracle ERP dan HCM seperti custom report, integrasi, extension, migrasi data, dan lain-lain. Posisi ini ditunjukkan untuk lulusan baru (Fresh Graduate) atau profesional pemula (Experience 1-2 Tahun) yang ingin mengembangkan keahlian dalam teknologi Oracle.</p><p><br></p><p>Job Responsibilities :</p><p>1. Mempelajari dan menerapkan Oracle SQL, PL/SQL, Oracle Forms/Reports, BI Publisher, Oracle Apex, Calculation Script &amp; Groovy Script (Oracle EPM / PBCS/ FCCS) dan Oracle tools yang lain.</p><p>2. Mendukung implementasi, integrasi, dan upgrade sistem Oracle ERP (EBS atau Fusion Cloud).</p><p>3. Berkolaborasi dengan konsultan fungsional untuk memahami kebutuhan bisnis dan menerjemahkannya ke solusi teknis.</p><p>4. Melakukan debugging, troubleshoot, dan support untuk issue teknis yang muncul dari user atau project team.</p><p>5. Menyusun dokumentasi teknis (TDD – Technical Design Document).</p><p><br></p><p>Job Qualifications:</p><p>1. Pendidikan minimal S1 di bidang Teknologi Informasi, Ilmu Komputer, Sistem Informasi, atau bidang teknis lainnya.</p><p>2. Memiliki pemahaman dasar mengenai database, SQL, dan konsep pemrograman.</p><p>3. Memiliki ketertarikan dalam sistem ERP dan teknologi Oracle.</p><p>4. Mampu berpikir analitis, menyelesaikan masalah, dan memiliki komunikasi yang baik.</p><p>5. Bersedia belajar, berkembang, dan bekerja sama dalam tim.</p><p>6. Mampu bekerja mandiri maupun dalam tim dan menyelesaikan masalah teknis secara sistematis.</p></div>","Jakarta Selatan, Jakarta Raya","2026-01-20T09:53:26Z","Technical Consultant (Trainee)"
"PT Cosmax Indonesia","60909266","https://bx-branding-gateway.cloud.seek.com.au/ed89788e-0bd9-4ca4-89e8-bae781d1f789.2/serpLogo","Cosmax Indonesia","At PT. Cosmax Indonesia, your IT skills power beauty and innovation. Join us to build smarter systems and create global impact.","<div class=""lsj4yq0 _1lpkkfn0""><h2><strong>PT. Cosmax Indonesia is hiring – IT Staff</strong></h2><p><em>Location: East Jakarta</em><br><em>Full-Time, On-site</em></p><h2><strong>Be the Tech Power Behind Beauty Innovation</strong></h2><p>At <strong>PT. Cosmax Indonesia</strong>, technology and creativity go hand in hand.<br>As part of our IT team, you’ll play a key role in building and maintaining digital infrastructure that supports the production of world-class beauty products.<br>Your expertise will ensure our systems run smoothly, securely, and efficiently — empowering innovation across the company.</p><h2><strong>Job Description:</strong></h2><ul><li><p><strong>Manage servers, networks, and cloud infrastructure (AWS, GCP, Azure — internal or with vendors)</strong></p></li><li><p>Ensure availability, scalability, and disaster recovery readiness</p></li><li><p>Analyze performance, troubleshoot incidents, and optimize infrastructure</p></li><li><p>Support cross-functional teams in implementing IT projects</p></li><li><p>Maintain stable IT infrastructure for manufacturing operations</p></li><li><p>Support digital transformation via cloud adoption</p></li><li><p>Ensure compliance with SLAs (Service Level Agreements)</p></li><li><p>Analyze network and server performance, perform troubleshooting</p></li></ul><p><br></p><h2><strong>Qualifications:</strong></h2><ul><li><p>Minimum education: <strong>Bachelor’s degree in IT / Computer Science</strong> or equivalent</p></li><li><p><strong>2-3 years of experience in IT Infrastructure and Cloud/On-Premise server management</strong></p></li><li><p>Strong <strong>problem-solving</strong> and <strong>analytical thinking</strong> to identify root causes</p></li><li><p>Good communication skills in English (oral and written)</p></li><li><p>Familiar with <strong>vendor management</strong> and able to lead/manage vendors</p></li><li><p>Knowledge in <strong>ERP Business Process</strong> is a plus</p></li><li><p>In-depth knowledge of <strong>Windows/Linux server systems</strong></p></li><li><p><strong>Familiar with major cloud services (GCP, AWS, Azure) and best practices</strong></p></li><li><p>Able to use monitoring tools and automation scripts</p></li><li><p>Capable of diagnosing and resolving complex technical problems</p></li></ul><p><br></p><p><br></p></div>","Ciracas, Jakarta Raya","2026-02-09T05:01:09Z","Staff IT (Infrastructure & Network Administrator)"
"PT IDX Solusi Teknologi Informasi","60941993","https://bx-branding-gateway.cloud.seek.com.au/107065a4-dd2d-4d90-829c-3a6bc20dc582.1/serpLogo","IDX Technology Information Solutions","We are seeking a results-driven and collaborative professional to develop, maintain, and standardize technical and business documentation.","<div class=""lsj4yq0 _1lpkkfn0""><p>PT IDX Solusi Teknologi Informasi (IDXSTI) was established in November 2018 as a subsidiary of the Indonesia Stock Exchange (IDX) and other Self-Regulatory Organizations (SROs), including KPEI/IDClear and KSEI. IDXSTI focuses on providing Information Technology (IT) services for the Indonesian capital market and other financial industries. Our objective&nbsp;is to deliver the best IT solutions to support the growth and development of Indonesia’s capital market.</p><p>At&nbsp;IDXSTI,&nbsp;we&nbsp;are&nbsp;dedicated&nbsp;to&nbsp;pushing&nbsp;the&nbsp;boundaries&nbsp;of&nbsp;innovation&nbsp;in&nbsp;our&nbsp;industry.&nbsp;We&nbsp;are&nbsp;looking&nbsp;for&nbsp;a&nbsp;results-driven&nbsp;and&nbsp;integrated&nbsp;team&nbsp;player&nbsp;to&nbsp;join&nbsp;our&nbsp;Team.<br></p><p>Key Responsibilities:</p><ol><li><p>Identify business problems and provide actionable, data-driven recommendations.</p></li><li><p>Analyze financial, operational, and market data to support strategic decision-making.</p></li><li><p>Prepare detailed reports, executive summaries, and presentations on findings.</p></li><li><p>Conduct market research, competitor analysis, industry trend assessments or regulatory demands.</p></li><li><p>Lead or participate in Requirement Gathering, Business Process Mapping, and Gap Analysis activities.</p></li><li><p>Develop business cases, feasibility studies, and risk scenarios based on research.</p></li><li><p>Collaborate with product, strategy, and executive teams to translate insights into tangible actions.</p></li><li><p>Recommend changes to the company to improve efficiency and effectiveness.</p></li><li><p>Recommend third parties to collaborate on IT &amp; product development.</p></li><li><p>Assist in integration planning between IDSTI product and external services</p></li></ol><p>Requirement:</p><ol><li><p>Bachelor degree (S1) in Management/Business and/or Information Technology/Computer Science.</p></li><li><p>Business Analyst/Risk Management/IT Strategic Planning/Leadership certification is a plus.</p></li><li><p>Have good English language skills.</p></li><li><p><strong>Plus: knowledge of Brokerage Office Systems (BOFIS)</strong> or other capital market-related systems, Candidates with knowledge of BOFIS, trading workflows, or capital market back-office processes will have a significant advantage.</p></li><li><p>Have experience in the field of business development/analyst at least 3 year.</p></li><li><p>Detail oriented, well organized and neat in completing every task regardless of distractions.</p></li><li><p>Strong experience preparing business documentation (business cases, feasibility reports, etc.).</p></li><li><p>Strong skills in quantitative and qualitative analysis, critical thinking, and data-based decision making.</p></li></ol><p><br></p></div>","Jakarta Selatan, Jakarta Raya","2026-02-05T07:10:34Z","Research and Business Analyst"
"PT Pratama Graha Semesta","60908293","https://bx-branding-gateway.cloud.seek.com.au/cd56586d-8c4c-4baf-b040-c3911d8cd1d8.1/serpLogo","Pratama Graha Semesta","Bergabung dengan tim IT dinamis. Paket kompensasi kompetitif, pengembangan karir, dan fleksibilitas kerja.","<div class=""lsj4yq0 _1lpkkfn0""><p><br>Kami mencari seorang Teknisi IT Dukungan/Layanan yang berbakat untuk bergabung dengan tim kami di PT Pratama Graha Semesta di Jakarta Utara. Dalam peran ini, Anda akan menjadi bagian integral dari tim IT kami yang dinamis dan akan bertanggung jawab untuk memastikan kelancaran operasional dan dukungan teknologi bagi seluruh karyawan perusahaan. Posisi ini membutuhkan keterampilan teknis yang kuat, kemampuan komunikasi yang baik, dan semangat untuk membantu orang lain.</p><p><strong>Tanggung Jawab Utama</strong></p><ul><li><p>Menyediakan dukungan teknis langsung dan tak langsung kepada pengguna, termasuk pemecahan masalah hardware, software, dan jaringan.</p></li><li><p>Memantau, mendiagnosis, dan menangani insiden TI untuk memastikan pemulihan yang cepat dan efisien.</p></li><li><p>Memberikan pelatihan dan panduan kepada karyawan terkait penggunaan sistem dan aplikasi TI.</p></li><li><p>Berkoordinasi dengan penyedia layanan eksternal untuk memastikan penyelesaian masalah secara tepat waktu.</p></li><li><p>Memperbarui dokumentasi teknis dan membuat laporan status untuk manajemen.</p></li><li><p>Membantu dalam proyek-proyek TI yang sedang berlangsung sesuai kebutuhan.</p></li></ul><p><strong>Keterampilan, Kualifikasi, dan Pengalaman yang Dibutuhkan</strong></p><ul><li><p>SLTA/Diploma/Sarjana dalam Teknologi Informasi, Komputer, atau bidang terkait.</p></li><li><p>Minimal 2 tahun pengalaman dalam peran dukungan/layanan TI.</p></li><li><p>Pemahaman yang mendalam tentang sistem operasi Windows, jaringan, dan aplikasi perkantoran.</p></li><li><p>Kemampuan diagnostik dan pemecahan masalah yang kuat.</p></li><li><p>Keterampilan komunikasi yang baik, baik lisan maupun tertulis, untuk berinteraksi dengan pengguna di semua tingkatan.</p></li><li><p>Bersemangat untuk belajar dan menguasai teknologi baru.</p></li><li><p>Mempunyai SIM A / Sertifikasi TI yang relevan akan menjadi nilai tambah.</p></li></ul><p><br>Lamar sekarang untuk kesempatan menantang dan menarik untuk berkarir di PT Pratama Graha Semesta!</p><p><br></p></div>","Jakarta Utara, Jakarta Raya","2026-02-02T09:22:06Z","IT Support/Sevice"
"PT Citarasa Kuliner Indonesia (Cimol Bojot AA)","62658765","https://bx-branding-gateway.cloud.seek.com.au/3254f28d-e342-42c3-a681-0a982654aecc.1/serpLogo","PT Citarasa Kuliner Indonesia","BPJS Kesehatan + BPJS Ketenagakerjaan","<div class=""lsj4yq0 _1lpkkfn0""><p><br></p><p><strong>Tanggung Jawab Utama</strong></p><ul><li><p>Memastikan ketersediaan dan performa sistem IT yang mendukung seluruh aktivitas perusahaan.</p></li><li><p>Melakukan pemantauan, pemeliharaan, dan perbaikan terhadap infrastruktur teknologi informasi seperti jaringan, server, perangkat keras, dan perangkat lunak.</p></li><li><p>Mengidentifikasi dan mengelola masalah serta gangguan layanan IT, serta memastikan pemulihan layanan secara cepat.</p></li><li><p>Mengembangkan dan mengelola kebijakan serta prosedur IT untuk menjaga keamanan dan kepatuhan.</p></li><li><p>Memberikan dukungan dan pelatihan terkait penggunaan sistem IT kepada pengguna internal.</p></li><li><p>Berkoordinasi dengan vendor dan pihak terkait untuk mengoptimalkan penggunaan teknologi informasi.</p></li><li><p>Memantau dan menganalisis penggunaan sumber daya IT untuk mengidentifikasi peluang perbaikan.</p></li></ul><p><strong>Keterampilan, Kualifikasi, dan Pengalaman yang Dibutuhkan</strong></p><ul><li><p>Minimal memiliki diploma atau gelar sarjana di bidang Teknologi Informasi, Sistem Informasi, atau bidang terkait.</p></li><li><p>Memiliki pengalaman minimal 1 tahun dalam peran yang berhubungan dengan IT support dan infrastruktur.</p></li><li><p>Mahir dalam mengoperasikan dan memelihara infrastruktur TI seperti jaringan, server, perangkat keras, dan perangkat lunak.</p></li><li><p>Memiliki pengetahuan yang baik tentang prosedur keamanan dan pemulihan layanan IT.</p></li><li><p>Berpengalaman dalam memecahkan masalah TI dan memberikan dukungan teknis kepada pengguna.</p></li><li><p>Memiliki kemampuan komunikasi yang baik, baik secara lisan maupun tertulis.</p></li><li><p>Memiliki kemampuan untuk bekerja dalam tim, disiplin, dan berorientasi pada solusi.</p></li></ul><p><br></p></div>","Bandung, Jawa Barat","2026-02-09T07:45:08Z","IT & Infrastruktur officer"
"PT Autocomp Systems Indonesia","60874278","https://bx-branding-gateway.cloud.seek.com.au/dcc829aa-4b58-43af-8472-a04a8bc7e993.1/serpLogo","Autocomp Systems Indonesia","Support for Hardware / Network IT","<div class=""lsj4yq0 _1lpkkfn0""><p>Requirements :</p><ul><li><p>Min. Senior High School / Diploma</p></li><li><p>Strong communication skills, high initiative, good attitude</p></li><li><p>Troubleshoot hardware &amp; software (Windows OS, applications, laptops, printers, network, server)</p></li><li><p>Perform routine IT equipment checks</p></li><li><p>Control assets and license</p></li><li><p>Familiar with Ms. Office</p></li></ul><p><br></p><p>Placement : Mid Plaza, Central Jakarta</p><p><br></p></div>","Jakarta Pusat, Jakarta Raya","2026-01-20T06:55:41Z","IT Support"
"Bahtera Pesat","61040782","https://bx-branding-gateway.cloud.seek.com.au/251bb5d0-5e52-4489-a8ae-3b15d7f33273.1/serpLogo","Bahtera Pesat","Memastikan keamanan sistem layanan Kartu Kredit dan Debit melalui evaluasi sistem, monitoring SLA, pengelolaan incident,  pengembangan sistem.","<div class=""lsj4yq0 _1lpkkfn0""><p>Jobdesk</p><p>1. Melakukan evaluasi dan memberikan rekomendasi atas kebutuhan sistem operasional layanan.</p><p>2. Melakukan analisis serta pengembangan perbaikan (enhancement) sistem untuk meningkatkan kualitas layanan.</p><p>3. Menyusun desain solusi atas permintaan Change Request (CR), improvement layanan, serta kebutuhan data operasional.</p><p>4. Mengelola user access dan Role Matrix System sesuai kebijakan keamanan dan kontrol internal.</p><p>5. Melakukan monitoring operasional layanan, termasuk pemenuhan SLA, mekanisme backup sistem, dan capacity planning.</p><p>6. Melakukan evaluasi dan pemantauan kinerja vendor penyedia layanan sistem untuk memastikan kualitas dan kontinuitas layanan.</p><p>7. Menangani incident dan problem management, termasuk pelaksanaan Root Cause Analysis (RCA) dan tindak lanjut perbaikannya.</p><p><br></p></div>","Tangerang Selatan, Banten","2026-01-12T02:31:44Z","IT Transaction Processing"
