"company/description","company/id","company/logo","company/name","description","jobDescriptionHtml","location","postDate","title"
"PT Fusion Dinamika","60236814","https://bx-branding-gateway.cloud.seek.com.au/55844ec4-be8e-4552-9c75-789a2a532200.1/serpLogo","Fusion Dynamics","Bergabunglah dengan tim dinamis kami di Jakarta, raih pertumbuhan karier yang luas dengan dukungan pelatihan dan mentoring.","<div class=""lsj4yq0 _1lpkkfn0""><h2>WE’RE HIRING: <strong>Junior Technical Support</strong></h2><p><strong>PT Fusion Dinamika – Jakarta</strong></p><p>Apakah kamu antusias dengan dunia teknologi, senang memecahkan masalah, dan ingin membangun karier di perusahaan IT yang terus berkembang?</p><p><strong>PT Fusion Dinamika</strong>, perusahaan teknologi terkemuka di Indonesia, membuka kesempatan bagi kamu yang energik dan berorientasi solusi untuk bergabung sebagai <strong><em>Junior Technical Support</em></strong>. Di posisi ini, kamu akan menjadi garda terdepan dalam membantu pelanggan dan memastikan teknologi bekerja secara optimal.</p><p><strong>Tanggung Jawab Utama</strong></p><ul><li><p>Memberikan dukungan teknis yang cepat, tepat, dan profesional melalui telepon, email, dan live chat</p></li><li><p>Menganalisis, mendiagnosis, dan menyelesaikan permasalahan teknis yang dialami pengguna.</p></li><li><p>Mendokumentasikan solusi serta berbagi <em>best practice</em>s untuk meningkatkan efisiensi tim.</p></li><li><p>Berkoordinasi dengan tim internal lainnya (Project Manager; Engineer, dan Support) untuk menangani kasus teknis yang kompleks.</p></li><li><p>Memberikan masukan dan rekomendasi untuk peningkatan produk serta layanan perusahaan.</p></li></ul><p><strong>Kualifikasi yan Kami Cari</strong></p><ul><li><p>Pendidikan Sarjana di bidang Teknologi Informasi, Sistem Informasi, Teknik Komputer, atau bidang terkait.</p></li><li><p>Pengalaman minimal 1 tahun di bidang <em>technical support</em> atau <em>customer support (fresh graduate</em> dengan kompetensi kuat dipersilakan melamar).</p></li><li><p>Memiliki kemampuan <em>troubleshooting</em> dan analisis masalah yang baik.</p></li><li><p>Komunikatif, mampu menjelaskan solusi teknis secara jelas dan mudah dipahami.</p></li><li><p>Memahami sistem operasi, <em>software</em>, dan perangkat keras komputer.</p></li><li><p>Mampu bekerja secara tim, kolaboratif lintas departemen, dan cepat beradaptasi dengan teknologi baru.</p></li></ul><p><strong>Kenapa Bergabung dengan PT Fusion Dinamika?</strong></p><ul><li><p><strong>Kompensasi Kompetitif</strong>: Gaji menarik, tunjangan, dan benefit yang kompetitif di industri IT</p></li><li><p><strong>Pertumbuhan Karier Nyata</strong>: Kesempatan pelatihan, sertifikasi, dan pengembangan profesional berkelanjutan.</p></li><li><p><strong>Lingkungan Kerja Inovatif</strong>: Budaya kerja kolaboratif yang mendorong ide, kreativitas, dan pembelajaran.</p></li><li><p><strong>Manfaat Kesejahteraan</strong>: Asuransi BPJS Kesehatan dan BPJS Ketenagakerjaan.</p></li></ul><p><br></p><p><strong>Tentang PT Fusion Dinamika</strong></p><p>PT Fusion Dinamika adalah perusahaan layanan infrastruktur IT dengan spesialisasi <em>Linux, open-source solutions, data center</em>, dan keamanan siber. Kami dikenal sebagai salah satu penyedia sistem <strong>Linux</strong> terkemuka di Indonesia dengan layanan konsultasi IT profesional, rekayasa inovatif, serta dukungan teknis berkualitas tinggi.</p><p>Kami bekerja dengan dedikasi, rasa ingin tahu yang tinggi, dan keahlian yang terfokus—menjadikan kami spesialis sejati, bukan sekadar generalis.</p><p><br><strong>Siap Memulai Karier Bersama Kami?</strong></p><p>Jadilah bagian dari tim yang berkontribusi langsung pada kesuksesan teknologi modern.</p><p>👉 <strong>Lamar sekarang sebagai Junior Technical Support di PT Fusion Dinamika!</strong></p></div>","Jakarta Barat, Jakarta Raya","2026-01-28T08:27:46Z","Junior Technical Support"
"PT Asuransi Multi Artha Guna Tbk","60865966","https://bx-branding-gateway.cloud.seek.com.au/9cb1500e-c983-4d16-9ed7-83d1edd638ab.2/serpLogo","Asuransi Multi Artha Guna","Qualification Fresh Graduated from any majors Minimum GPA 3.00 Active in organization or campus activities Able to speak English.","<div class=""lsj4yq0 _1lpkkfn0""><p><strong>Qualification</strong></p><ul><li><p>Fresh Graduated from any majors</p></li><li><p>Minimum GPA 3.00</p></li><li><p>Active in organization or campus activities</p></li><li><p>Able to speak English</p></li><li><p>Have big interest in learning all insurance function</p></li><li><p>Have good analytical and communication skills</p></li><li><p>Have good leadership skills</p></li><li><p>Willing to learn and explore new opportunities</p></li><li><p>Agile and resilient</p></li><li><p><strong>Willing to be placed in all Branch Offices in Indonesia</strong></p></li><li><p><strong>Willing to undergo official bond after completing the AMAG Graduated Program</strong></p></li></ul><p><br></p></div>","Jakarta Raya","2026-01-23T10:27:07Z","AMAG Graduated Program (Management Trainee)"
"PT Auraluxe Indonesia","60894541","https://bx-branding-gateway.cloud.seek.com.au/a34da9c8-e5ca-46e4-8080-7be5d2fd1d07.2/serpLogo","Auraluxe Indonesia","The largest and leading distributor in Indonesia with historical deep roots in major cities of the vast territory of Indonesia.","<div class=""lsj4yq0 _1lpkkfn0""><p><strong>Requirements :</strong></p><ol><li><p><strong>Sound knowledge in hardware &amp; network</strong></p></li><li><p><strong>Software Maintenance and troubleshooting</strong></p></li><li><p><strong>Preferrable POS maintenance like (iseller)</strong></p></li><li><p><strong>SAP Business Application knowledge is Mandatory.</strong></p></li><li><p><strong>Knowledge Retail Business &amp; business analyst preferrable.</strong></p></li><li><p><strong>Excellent communication with IT Support Experience preferrable</strong></p></li><li><p><strong>Bachelor's Degree (S1) information technology/teknik informatika/sistem informasi</strong></p></li></ol><p><strong>Experience :</strong></p><ol><li><p><strong>Minimum 2 years in retail industry and related role</strong></p></li><li><p><strong>Preferrable if able to Join Immediately</strong></p></li></ol><p><br></p></div>","Jakarta Utara, Jakarta Raya","2026-02-09T04:05:47Z","IT Staff"
"PT NOK Indonesia","60915914","https://bx-branding-gateway.cloud.seek.com.au/5c2298ca-8039-468d-b638-189bdff42bfd.1/serpLogo","NOK Indonesia","PT NOK Indonesia is a top Japanese foreign investment company and offers good career paths and facilities.","<div class=""lsj4yq0 _1lpkkfn0""><p><strong>Job Qualification:</strong></p><ul><li><p>Fresh Graduate / Experience</p></li><li><p>D3/D4/S1 from Reputable University</p></li><li><p>Preferable Majoring in: Informatics Engineering, Information Systems, Industrial Engineering,&nbsp; Civil Engineering, Electrical Engineering, Mechanical Engineering</p></li><li><p><strong>For Informatics Systems background: </strong>Can operate mobile application development (Android, iOs, IoT), Netbeans, VS Code, Java, Javascript, Phyton, Flutter, Typescript, PHP, XML, VB &amp; C++). Database: Postgresql, SQL, Oracle, Mysql, MongoDB. Proficient in computer hardware, installation, wireless technology applications and interfaces. Have a good skilled in computer installation (assembling computers) &amp; troubleshooting. Understand LAN &amp; WAN network management, Computer System Operation, Windows, Linux &amp; MAC OS, Software Application and Installtion. Software licencing and information security (Cybersecurity).</p></li><li><p><strong>For Machine Engineering &amp; Electrical Engineering background</strong>: Understand Solidwork 2D 3D/ Autocad / Inventor / PLC Programs / HMI Programming / Milling machine / Lathe applications / able to read technical drawings / C language / Python / SQL / C++/ SAP 200 Revit / BIM Software</p></li></ul><p><strong>Job Description:</strong></p><ul><li><p>Building, setting up, and improving systems, procedures, and equipment.</p></li><li><p>Utilizing software to perform efficient planning, designing, and development.</p></li><li><p>Able to make proposals (budgeting plans) for new program</p></li><li><p>Carry out work according to procedures and prioritize safety</p></li><li><p>Implementation Kaizen, QCC</p></li></ul><p><br></p></div>","Cikarang","2026-02-02T06:08:15Z","Staff Engineering"
"PT Bumi Bandara Indah","62423056","https://bx-branding-gateway.cloud.seek.com.au/7dfc8f07-bbd4-4591-8fb7-429e883dcf94.1/serpLogo","Bumi Bandara Indah","Bertindak sebagai titik kontak utama untuk semua permintaan dukungan teknis terkait IT dari karyawan","<div class=""lsj4yq0 _1lpkkfn0""><p>Posisi IT Support dan Admin Officer adalah peran ganda yang dirancang untuk mendukung ekspansi perusahaan. Kandidat terpilih akan menjadi titik kontak Posisi IT Support dan Admin Officer adalah peran ganda yang dirancang untuk mendukung ekspansi perusahaan. Kandidat terpilih akan menjadi titik kontak operasional dan memastikan dukungan yang efektif di seluruh lokasi operasional perusahaan yang terus berkembang</p><p><strong>TUGAS &amp; TANGGUNG JAWAB UTAMA :</strong></p><p>1. User Support:</p><ul><li><p>Bertindak sebagai titik kontak utama untuk semua permintaan dukungan teknis terkait IT dari karyawan</p></li><li><p>Memberikan dukungan teknis dan pemecahan masalah untuk berbagai masalah, termasuk hardware (komputer desktop, laptop, periferal), aplikasi software</p></li><li><p>Memberikan dukungan teknis dan pemecahan masalah untuk berbagai masalah, termasuk hardware (komputer desktop, laptop, periferal), aplikasi software</p></li></ul><p><br></p><p>2. Tugas Administrasi:</p><ul><li><p>Mengelola pengadaan peralatan baru IT dan lisensi software.</p></li><li><p>Menjaga inventaris yang akurat dan terkini dari semua aset IT</p></li><li><p>Mengurus pengaturan dan konfigurasi peralatan baru untuk karyawan.</p></li></ul><p><br></p><p><strong>Kriteria Seleksi</strong></p><p><strong>Persyaratan Karakter dan Keterampilan:</strong></p><ul><li><p>Kesabaran dan Empati: Kemampuan untuk tetap tenang dan pengertian saat berurusan dengan pengguna yang mungkin merasa frustrasi atau memiliki pengetahuan teknis yang terbatas.</p></li><li><p>Kesabaran dan Empati: Kemampuan untuk tetap tenang dan pengertian saat berurusan dengan pengguna yang mungkin merasa frustrasi atau memiliki pengetahuan teknis yang terbatas.</p></li><li><p>Komunikasi yang Baik: Kemampuan untuk menjelaskan konsep teknis yang kompleks dengan bahasa yang sederhana dan mudah dipahami, baik secara lisan maupun tertulis.</p></li><li><p>Can-Do” Attitude: Sikap proaktif dan kreatif, selalu bersedia menghadapi tantangan baru dan menemukan solusi</p></li></ul><p><br></p><p><strong>Persyaratan Keterampilan Teknis</strong></p><ul><li><p>Pengetahuan Jaringan (Level Pemula hingga Menengah):</p></li><li><p>Pemahaman yang kuat tentang konsep dasar jaringan, termasuk TCP/IP, DNS, dan DHCP serta pemahaman dasar routing, tunneling dan VPN</p></li><li><p>Pengalaman dalam mengatasi masalah konektivitas jaringan yang umum. Kemampuan untuk mengonfigurasi dan mengelola perangkat jaringan seperti router ruijie dan switch managable.</p></li></ul><p><br></p><p><strong>Pengadaan dan Manajemen Inventaris:</strong></p><ul><li><p>Pengalaman dalam pengadaan hardware dan software IT. Pemahaman yang kuat tentang, atau pengalaman langsung dengan, prosedur operasional standar (SOP) manajemen inventaris. Pengalaman dalam penandaan aset dan pemeliharaan catatan inventaris yang akurat.</p></li></ul><p><br></p><p><strong>kemampuan Umum It Support</strong></p><ul><li><p>Menguasai berbagai sistem operasi (Windows, linux, dan macOS). Pengalaman dengan sistem help desk atau ticketing. Kemampuan dalam pemecahan masalah hardware dan software di berbagai perangkat.</p></li></ul><p><br></p></div>","Jakarta Raya","2026-01-13T05:01:54Z","IT Support dan Admin Officer"
"PT. FM Global Logistics","60890937","https://bx-branding-gateway.cloud.seek.com.au/83f8f3b9-7e60-4d57-a05d-246a6f8e991f.1/serpLogo","FM Global Logistics","Manage Windows/Linux servers, network infrastructure, security systems (Firewall/VPN), and deliver IT support for logistics company operations.","<div class=""lsj4yq0 _1lpkkfn0""><ul><li><p>Manage and maintain <strong>servers</strong> based on <strong>Windows</strong> and <strong>Linux</strong></p></li><li><p>Manage and troubleshoot <strong>System Servers</strong></p></li><li><p>Implement and manage <strong>Network Security</strong> (Firewall, Router, VPN)</p></li><li><p>Configure and maintain <strong>Mikrotik</strong> networking devices</p></li><li><p>Perform maintenance and repair of <strong>printers</strong> and other peripheral devices</p></li><li><p>Manage and maintain the <strong>PABX</strong> system (office telephone)</p></li><li><p>Monitor network and system performance to ensure maximum uptime</p></li><li><p>Provide support to internal users</p></li><li><p>Create SOPs and documentation for systems, configurations, and IT procedures</p></li><li><p>Perform regular data backups and disaster recovery planning</p></li></ul><p><br></p></div>","Jakarta Raya","2026-02-04T07:14:43Z","IT Staff / IT Officer"
"PT Anabatic Technologies","61020670","https://bx-branding-gateway.cloud.seek.com.au/7a4b6fb8-b7ed-41a2-9ea4-f0b07f6a06b8.1/serpLogo","Anabatic Technologies","Project Management Officer","<div class=""lsj4yq0 _1lpkkfn0""><p><strong>Job Requirements:</strong></p><p>- Minimum Bachelor Degree of Information Technology or IT related major, with GPA min. 3,00 of 4,00</p><p>- Having minimum 1-2 year working experience as Project Manager is preferaby</p><p>- Having knowledge about project management</p><p>- Willing to be placed at PT Karyaputra Suryagemilang (member of ATIC), which is located in Graha Anabatic, Tangerang or Graha BIP, South Jakarta</p><p><br></p><p><strong>Job Description:</strong></p><p>Coordinate with internal teams and external clients to ensure that each project runs smoothly in terms of administration, planning, implementation, management, development&nbsp;and&nbsp;monitoring.</p></div>","Jakarta Raya","2026-01-22T10:30:06Z","Project Management Officer (IT / Payroll / Operation MPHRO / Call Center)"
"PT Saraswanti Indo Genetech","60892492","https://bx-branding-gateway.cloud.seek.com.au/9e05a843-b4d3-45b7-89c4-42e322357e0e.2/serpLogo","Saraswanti Indo Genetech","SIG Laboratory saat ini membutuhkan kandidat untuk posisi Staff IT Helpdesk","<div class=""lsj4yq0 _1lpkkfn0""><p><strong>Job Description</strong></p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Melayani dan mengatasi masalah dari berbagai pertanyaan dan keluhan dengan cepat, baik secara tatap muka, Email, telepon, maupun <em>remote</em>.</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Menganalisa insiden dan melakukan eskalasi perbaikan ke tim IT tingkat lanjut (Network Engineer/System Admin) atau vendor pihak ketiga.</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Mencatat setiap insiden dan permintaan layanan ke dalam sistem Ticketing serta memantau statusnya hingga selesai (closed).</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Membuat dokumentasi teknis atau panduan sederhana untuk membantu user menangani masalah umum.</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Menyediakan layanan Manajemen Sistem Informasi terhadap pengguna sehingga pengguna dapat menggunakan perangkat keras dan perangkat lunak sesuai kebutuhan.</p></div>","Bogor, Jawa Barat","2026-01-22T02:39:21Z","Staff IT Helpdesk"
"PT Cosmax Indonesia","60909266","https://bx-branding-gateway.cloud.seek.com.au/ed89788e-0bd9-4ca4-89e8-bae781d1f789.2/serpLogo","Cosmax Indonesia","At PT. Cosmax Indonesia, your IT skills power beauty and innovation. Join us to build smarter systems and create global impact.","<div class=""lsj4yq0 _1lpkkfn0""><h2><strong>PT. Cosmax Indonesia is hiring – IT Staff</strong></h2><p><em>Location: East Jakarta</em><br><em>Full-Time, On-site</em></p><h2><strong>Be the Tech Power Behind Beauty Innovation</strong></h2><p>At <strong>PT. Cosmax Indonesia</strong>, technology and creativity go hand in hand.<br>As part of our IT team, you’ll play a key role in building and maintaining digital infrastructure that supports the production of world-class beauty products.<br>Your expertise will ensure our systems run smoothly, securely, and efficiently — empowering innovation across the company.</p><h2><strong>Job Description:</strong></h2><ul><li><p><strong>Manage servers, networks, and cloud infrastructure (AWS, GCP, Azure — internal or with vendors)</strong></p></li><li><p>Ensure availability, scalability, and disaster recovery readiness</p></li><li><p>Analyze performance, troubleshoot incidents, and optimize infrastructure</p></li><li><p>Support cross-functional teams in implementing IT projects</p></li><li><p>Maintain stable IT infrastructure for manufacturing operations</p></li><li><p>Support digital transformation via cloud adoption</p></li><li><p>Ensure compliance with SLAs (Service Level Agreements)</p></li><li><p>Analyze network and server performance, perform troubleshooting</p></li></ul><p><br></p><h2><strong>Qualifications:</strong></h2><ul><li><p>Minimum education: <strong>Bachelor’s degree in IT / Computer Science</strong> or equivalent</p></li><li><p><strong>2-3 years of experience in IT Infrastructure and Cloud/On-Premise server management</strong></p></li><li><p>Strong <strong>problem-solving</strong> and <strong>analytical thinking</strong> to identify root causes</p></li><li><p>Good communication skills in English (oral and written)</p></li><li><p>Familiar with <strong>vendor management</strong> and able to lead/manage vendors</p></li><li><p>Knowledge in <strong>ERP Business Process</strong> is a plus</p></li><li><p>In-depth knowledge of <strong>Windows/Linux server systems</strong></p></li><li><p><strong>Familiar with major cloud services (GCP, AWS, Azure) and best practices</strong></p></li><li><p>Able to use monitoring tools and automation scripts</p></li><li><p>Capable of diagnosing and resolving complex technical problems</p></li></ul><p><br></p><p><br></p></div>","Ciracas, Jakarta Raya","2026-02-09T05:01:09Z","Staff IT (Infrastructure & Network Administrator)"
"PT Panasonic Gobel Energy Indonesia (PECGI)","60889509","https://bx-branding-gateway.cloud.seek.com.au/67996344-9f70-4a63-a164-eeca3cbdb072.1/serpLogo","Panasonic","Analyze production data to improve efficiency, quality, and process performance through real-time monitoring and data-driven insights.","<div class=""lsj4yq0 _1lpkkfn0""><p><strong>About the role</strong><br><br>We are seeking a talented Data Analyst to join our dynamic Production team at PT Panasonic Gobel Energy Indonesia (PECGI) in Cikarang, Bekasi Regency, West Java. As a fulltime employee, you will play a crucial role in driving data-driven decision making and optimising our production processes.</p><p><strong>What you'll be doing</strong></p><ul><li><p>Collect, analyse and interpret data from various production systems to identify trends, patterns and opportunities for improvement</p></li><li><p>Develop and maintain reporting dashboards to provide real-time visibility into production performance</p></li><li><p>Collaborate with cross-functional teams to implement data-driven solutions that enhance efficiency and productivity</p></li><li><p>Assist in the design and development of database structures to support the organisation's data management needs</p></li><li><p>Provide data-driven recommendations to management to drive strategic decision making</p></li><li><p>Stay up-to-date with the latest data analysis tools and techniques to continuously improve processes</p></li></ul><p><strong>What we're looking for</strong></p><ul><li><p>D3 qualification in a relevant field such as Information Technology, Computer Science or Data Analytics</p></li><li><p>Proficient in data analysis tools and techniques, including SQL, Excel, and data visualisation software</p></li><li><p>Strong problem-solving and critical thinking skills with the ability to interpret data and draw meaningful insights</p></li><li><p>Excellent communication and presentation skills to effectively convey data-driven insights to stakeholders</p></li><li><p>Familiarity with production processes and an understanding of manufacturing operations</p></li><li><p>Attention to detail and a keen interest in continuous improvement</p></li></ul><p><br>If you are ready to embark on an exciting data-driven journey with us, we encourage you to apply now.</p></div>","Kabupaten Bekasi, Jawa Barat","2026-01-14T02:33:16Z","D3 Data Analyst for Production Staff (CODE : PROD DA)"
