Metric,Value
Jumlah Mahasiswa,4.0
Rata-rata Masa Studi (Tahun),4.0
Median Masa Studi (Tahun),4.0
Minimum Masa Studi (Tahun),4.0
Maksimum Masa Studi (Tahun),4.0
Standar Deviasi,0.0
