occupation_id,occupation_name,competency_unit
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),menganalisis tools
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),menggunakan struktur data
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),mengimplementasikan user interface
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),merancang user experience
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),mengimplementasikan rancangan entitas dan keterkaitan antar entitas
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),menerapkan pemecahan permasalahan menjadi subrutin
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),menerapkan metode dan praktik penggunaan kembali (reusable) subrutin-subrutin
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),"menyusun fungsi, file atau sumber daya pemrograman yang lain dalam organisasi yang rapi"
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),menulis kode dengan prinsip sesuai guidelines dan best practices
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),mengimplementasikan pemrograman berorientasi objek
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),menggunakan library atau komponen pre-existing
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),mengimplementasikan algoritma pemrograman
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),membuat dokumen kode program
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),melakukan debugging
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),menerapkan source code versioning
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),melakukan profiling program
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),menerapkan code review
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),melaksanakan pengujian integrasi program
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),melaksanakan pengujian program sistem
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),melaksanakan stress test
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),melaksanakan pengujian oleh pengguna (uat)
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),memberikan petunjuk teknis kepada pelanggan
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),membuat paket instalasi perangkat lunak
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),"melaksanakan konfigurasi perangkat lunak sesuai environment (development, staging, production)"
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),menganalisis dampak perubahan terhadap aplikasi
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),menerapkan alert notification jika aplikasi bermasalah
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),melakukan pemantauan resource yang digunakan aplikasi
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),melakukan logging aplikasi
TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),menerapkan standarstandar keamanan informasi yang berlaku
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),"orang yang bertanggung jawab atas pengembangan sistem informasi di sebuah perusahaan atau organisasi. sdh memiliki tugas dan tanggung jawab yang luas, mulai dari perencanaan dan desain sistem, pengembangan dan implementasi, hingga pemeliharaan dan dukungan."
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),merencanakan dan mengoordinasikan proses pengembangan sistem informasi
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),memastikan sistem yang dikembangkan dapat memenuhi kebutuhan organisasi dan memberikan nilai tambah bagi bisnis
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),komunikatif
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),mampu bekerja sama
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),leadership
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),teliti
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),mampu manajemen pembagian tugas
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),memimpin dan mengelola tim pengembangan sistem informasi
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),merencanakan dan mengoordinasikan proses pengembangan sistem informasi
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),mengawasi dan memastikan kualitas sistem informasi yang dikembangkan
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),melakukan evaluasi dan pengembangan sistem informasi
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),membuat penugasan dan jadwal kerja untuk anggota tim
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),mengevaluasi kinerja anggota tim
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),mengambil keputusan dalam hal teknis
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),menyelesaikan masalah dan konflik
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),memiliki kemampuan manajerial.
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),menganalisis tools
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),menganalisis skalabilitas perangkat lunak
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),"melakukan identifikasi library, komponen, atau framework yang diperlukan"
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),menggunakan struktur data
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),merancang user experience
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),mengimplementasikan rancangan entitas dan keterkaitan antar entitas
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),merancang arsitektur aplikasi
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),menulis kode dengan prinsip sesuai guidelines dan best practices
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),mengimplementasikan algoritma pemrograman
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),membuat dokumen kode program
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),mengimplementasikan network programming
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),menerapkan pemrograman real time
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),menerapkan pemrograman paralel
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),menerapkan pemrograman multimedia
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),melakukan profiling program
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),menerapkan code review
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),melaksanakan pengujian integrasi program
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),melaksanakan pengujian program sistem
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),melaksanakan pengujian kode program secara statis
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),melaksanakan stress test
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),melaksanakan pengujian oleh pengguna (uat)
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),memberikan petunjuk teknis kepada pelanggan
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),melaksanakan cutover aplikasi
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),menganalisis dampak perubahan terhadap aplikasi
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),menerapkan alert notification jika aplikasi bermasalah
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),melakukan pemantauan resource yang digunakan aplikasi
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),melakukan pembaharuan perangkat lunak
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),mengelola proyek secara terintegrasi (project integration management)
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),mengelola ruang lingkup proyek (project scope management)
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),menentukan arsitektur perangkat keras
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),"orang yang bertanggung jawab atas pengembangan dan pengiriman produk perangkat lunak yang berkualitas tinggi. mereka bekerja sama dengan tim insinyur perangkat lunak untuk merencanakan, mendesain, dan menguji produk perangkat lunak. mereka juga memastikan bahwa produk perangkat lunak memenuhi kebutuhan pelanggan dan anggaran."
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),memimpin dan mengelola tim insinyur perangkat lunak dalam pengembangan dan penerapan perangkat lunak
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),memastikan bahwa perangkat lunak yang dikembangkan memenuhi kebutuhan pengguna dan berkualitas tinggi
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),berintegritas
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),independen
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),objektif
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),kritis
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),analitis
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),menyusun dan mengimplementasikan strategi pengembangan perangkat lunak untuk organisasi
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),mengelola anggaran dan sumber daya untuk pengembangan perangkat lunak
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),mengoordinasikan dengan tim ti lain untuk memastikan pengembangan perangkat lunak yang lancar
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),memimpin dan membimbing tim insinyur perangkat lunak
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),menangani masalah dan keluhan terkait pengembangan perangkat lunak
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),memantau kinerja pengembangan perangkat lunak untuk memastikan kepatuhan terhadap standar dan persyaratan
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),merekomendasikan peningkatan dan perubahan untuk pengembangan perangkat lunak
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),menyetujui anggaran dan sumber daya untuk pengembangan perangkat lunak
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),mendelegasikan tugas dan tanggung jawab kepada staf
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),mewakili tim pengembangan perangkat lunak kepada manajemen dan pelanggan
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),membuat keputusan terkait pengembangan perangkat lunak
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),manage organisational change (mengelola perubahan organisasi)
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),manage innovation and continuous improvement (mengelola inovasi dan peningkatan berkelanjutan)
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),determine and confirm client business requirements (menentukan dan mengkonfirmasikan persyaratan bisnis klien)
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),comply with organisational requirements for protection and use of intellectual property (mematuhi persyaratan organisasi untuk perlindungan dan penggunaan kekayaan intelektual)
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),manage it project planning (mengelola perencanaan proyek it)
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),merancang struktur perangkat lunak
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),merancang komponen perangkat lunak
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),menyusun rekomendasi penjaminan kualitas perangkat lunak bagi stakeholder
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),mengevaluasi pelaksanaan penjaminan kualitas perangkat lunak
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),determine project specifications and secure client agreement (menentukan spesifikasi proyek dan mengamankan perjanjian klien)
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),conduct post-implementation it system reviews (melakukan evaluasi sistem ti pasca-implementasi)
TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),develop workplace policy and procedures for sustainability (mengembangkan kebijakan dan prosedur di tempat kerja untuk keberlanjutan)
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),"orang yang bertanggung jawab atas pengembangan dan pengiriman perangkat lunak sistem, seperti sistem operasi, sistem manajemen database, dan sistem jaringan. mereka bekerja sama dengan tim insinyur perangkat lunak untuk merencanakan, mendesain, dan menguji perangkat lunak sistem. mereka juga memastikan bahwa perangkat lunak sistem memenuhi kebutuhan bisnis dan anggaran."
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),memimpin dan mengelola tim pengembangan perangkat lunak sistem dalam pengembangan dan penerapan perangkat lunak sistem
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),memastikan bahwa perangkat lunak sistem yang dikembangkan memenuhi kebutuhan pengguna dan berkualitas tinggi
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),berintegritas
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),independen
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),objektif
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),kritis
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),analitis
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),menyusun dan mengimplementasikan strategi pengembangan sistem perangkat lunak untuk organisasi
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),mengelola anggaran dan sumber daya untuk pengembangan sistem perangkat lunak
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),mengoordinasikan dengan tim ti lain untuk memastikan pengembangan sistem perangkat lunak yang lancar
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),memimpin dan membimbing tim pengembang sistem perangkat lunak
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),menangani masalah dan keluhan terkait pengembangan sistem perangkat lunak
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),memantau kinerja pengembangan sistem perangkat lunak untuk memastikan kepatuhan terhadap standar dan persyaratan
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),merekomendasikan peningkatan dan perubahan untuk pengembangan sistem perangkat lunak
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),menyetujui anggaran dan sumber daya untuk pengembangan sistem perangkat lunak
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),mendelegasikan tugas dan tanggung jawab kepada staf
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),mewakili tim pengembangan sistem perangkat lunak kepada manajemen dan pelanggan
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),membuat keputusan terkait pengembangan sistem perangkat lunak
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),manage innovation and continuous improvement (mengelola inovasi dan peningkatan berkelanjutan)
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),merekayasa arsitektur virtualisasi sistem public/private/ hybrid/sovereign cloud
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),merancang mobile cloud computing
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),merancang spesifikasi teknis smart phone/tablet sesuai kebutuhan pengguna
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),menunjukkan penguasaan konsep dan teknis mobile sensor untuk mobile computing
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),merancang spesifikasi teknis wearable computing
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),mengidentifikasi layanan geolocation dan geofencing
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),menentukan lingkup quality assurance untuk proses pengembangan perangkat lunak
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),mengintegrasikan penjaminan kualitas ke dalam organisasi pengembang
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),manage a small team (mengelola tim kecil)
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),manage it projects (mengelola proyek ti)
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),menulis kode dengan prinsip sesuai guidelines dan best practices
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),"melaksanakan konfigurasi perangkat lunak sesuai environment (development, staging, production)"
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),menganalisis dampak perubahan terhadap aplikasi
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),manage innovation and continuous improvement (mengelola inovasi dan peningkatan berkelanjutan)
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),comply with organisational requirements for protection and use of intellectual property (mematuhi persyaratan organisasi untuk perlindungan dan penggunaan kekayaan intelektual)
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,"orang yang bertanggung jawab atas perencanaan, pengembangan, dan implementasi aplikasi otomatisasi kantor, seperti perangkat lunak pengolah kata, perangkat lunak spreadsheet, dan perangkat lunak email. mereka bekerja sama dengan tim pengembang aplikasi untuk merencanakan, mendesain, dan mengimplementasikan aplikasi otomatisasi kantor yang memenuhi kebutuhan bisnis. mereka juga memastikan bahwa aplikasi otomatisasi kantor beroperasi dengan lancar dan memenuhi anggaran."
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,memimpin dan mengelola tim pengembangan aplikasi perkantoran dalam pengembangan dan penerapan aplikasi perkantoran
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,memastikan bahwa aplikasi perkantoran yang dikembangkan memenuhi kebutuhan pengguna dan berkualitas tinggi
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,berintegritas
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,independen
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,objektif
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,kritis
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,analitis
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,menyusun dan mengimplementasikan strategi aplikasi otomatisasi kantor untuk organisasi
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,mengelola anggaran dan sumber daya untuk aplikasi otomatisasi kantor
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,mengoordinasikan dengan tim ti lain untuk memastikan aplikasi otomatisasi kantor yang lancar.
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,memimpin dan membimbing tim aplikasi otomatisasi kantor
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,menangani masalah dan keluhan terkait aplikasi otomatisasi kantor
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,memantau kinerja aplikasi otomatisasi kantor untuk memastikan kepatuhan terhadap standar dan persyaratan
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,merekomendasikan peningkatan dan perubahan untuk aplikasi otomatisasi kantor
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,menyetujui anggaran dan sumber daya untuk aplikasi otomatisasi kantor
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,mendelegasikan tugas dan tanggung jawab kepada staf
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,mewakili tim aplikasi otomatisasi kantor kepada manajemen dan pelanggan
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,membuat keputusan terkait aplikasi otomatisasi kantor
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,manage innovation and continuous improvement (mengelola inovasi dan peningkatan berkelanjutan)
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,determine and confirm client business requirements (menentukan dan mengkonfirmasi persyaratan bisnis klien)
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,comply with organisational requirements for protection and use of intellectual property (mematuhi persyaratan organisasi untuk perlindungan dan penggunaan kekayaan intelektual)
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,develop workplace policy and procedures for sustainability (mengembangkan kebijakan dan prosedur di tempat kerja untuk keberlanjutan)
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,"use, communicate and search securely on the internet (menggunakan, berkomunikasi dan melakukan pencarian yang aman di internet)"
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,use digital devices (menggunakan perangkat digital)
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,use personal productivity tools (menggunakan perangkat produktivitas pribadi)
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS,use computer operating systems and hardware (penggunaan sistem operasi dan perangkat keras komputer)
TIK.DEV0705,MANAJER PEMROGRAMAN APLIKASI (APPLICATIONS PROGRAMMING MANAGER),"orang yang bertanggung jawab atas pengembangan dan implementasi aplikasi perangkat lunak yang memenuhi kebutuhan bisnis. mereka bekerja sama dengan tim pemrogram aplikasi untuk merencanakan, mendesain, dan mengimplementasikan aplikasi. mereka juga memastikan bahwa aplikasi memenuhi kebutuhan pengguna dan anggaran."
TIK.DEV0705,MANAJER PEMROGRAMAN APLIKASI (APPLICATIONS PROGRAMMING MANAGER),memimpin dan mengelola tim pemrograman aplikasi dalam pengembangan dan penerapan aplikasi perangkat lunak
TIK.DEV0705,MANAJER PEMROGRAMAN APLIKASI (APPLICATIONS PROGRAMMING MANAGER),memastikan bahwa aplikasi perangkat lunak yang dikembangkan memenuhi kebutuhan pengguna dan berkualitas tinggi
TIK.DEV0705,MANAJER PEMROGRAMAN APLIKASI (APPLICATIONS PROGRAMMING MANAGER),berintegritas
TIK.DEV0705,MANAJER PEMROGRAMAN APLIKASI (APPLICATIONS PROGRAMMING MANAGER),independen
TIK.DEV0705,MANAJER PEMROGRAMAN APLIKASI (APPLICATIONS PROGRAMMING MANAGER),objektif
TIK.DEV0705,MANAJER PEMROGRAMAN APLIKASI (APPLICATIONS PROGRAMMING MANAGER),kritis
