occupation_id,occupation_name,competency_unit
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),mampu mengatasi masalah
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),memimpin dan mengelola tim ti
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),mendefinisikan dan mengimplementasikan strategi ti
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),mengembangkan dan menerapkan solusi ti
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),mengelola infrastruktur ti
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),mengakses dan menggunakan ti
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),melakukan perubahan pada infrastruktur ti
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),melakukan kolaborasi dengan berbagai pihak
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),melakukan investasi pada teknologi ti
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),memiliki pemahaman mendalam mengenai pengelolaan teknologi informasi.
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),menentukan metode pemodelan arsitektur bisnis dan business building block yang diperlukan
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),"menetapkan baseline dan target arsitektur bisnis, serta kesenjangan antara baseline dan target arsitektur bisnis"
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),menyusun roadmap arsitektur bisnis
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),memfinalisasikan arsitektur bisnis
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),mengelola proyek secara terintegrasi (project integration management)
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),mengelola risiko proyek (project risk management)
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),mengelola pengadaan-pengadaan proyek (project procurement management)
TIK.ITG0902,PEMIMPIN KEPATUHAN (CHIEF COMPLIANCE OFFICER (CCO)),mengelola stakeholder proyek (project stakeholder management)
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),"orang yang bertanggung jawab untuk mengembangkan dan mengelola arsitektur perusahaan yang koheren dan mendukung tujuan bisnis. cea bekerja sama dengan berbagai pemangku kepentingan di seluruh organisasi untuk memastikan bahwa arsitektur perusahaan selaras dengan strategi bisnis, persyaratan operasional, dan peraturan."
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),mengelola arsitektur yang mendukung tujuan bisnis
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),melakukan pengembangan pada arsitektur perusahaan
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),bertaqwa kepada tuhan yang maha esa
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),"memiliki moral, etika dan kepribadian yang baik di dalam menyelesaikan tugasnya"
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),berperan sebagai warga negara yang bangga dan cinta tanah air serta mendukung perdamaian dunia
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),mampu bekerja sama dan memiliki kepekaan sosial dan kepedulian yang tinggi terhadap masyarakat dan lingkungannya
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),"menghargai keanekaragaman budaya, pandangan, kepercayaan, dan agama serta pendapat/temuan orisinal orang lain"
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),menjunjung tinggi penegakan hukum serta memiliki semangat untuk mendahulukan kepentingan bangsa serta masyarakat luas
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),mendefinisikan dan mengimplementasikan arsitektur perusahaan yang koheren dan mendukung tujuan bisnis
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),memimpin dan mengelola tim arsitek perusahaan
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),"bekerja sama dengan pemangku kepentingan di seluruh organisasi untuk memastikan bahwa arsitektur perusahaan selaras dengan strategi bisnis, persyaratan operasional, dan peraturan"
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),mengelola perubahan arsitektur perusahaan
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),melakukan penelitian dan pengembangan di bidang arsitektur perusahaan
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),menetapkan visi dan strategi arsitektur perusahaan
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),mengembangkan dan menerapkan arsitektur perusahaan
