Sub-Aspek,Average Similarity,Alignment (%),Kondisi
Visi/Misi ↔ Profil Lulusan,0.5963000059127808,40.0,Perlu Perbaikan
Profil Lulusan ↔ Posisi/Jabatan Lulusan,0.6033,66.67,Cukup
