Sub-Aspek,Indikator,Nilai,Kondisi
Evaluasi Output Asesmen,Rata-rata Nilai,3.65,Baik
Kepatuhan Persyaratan Kelulusan,Mahasiswa Belum Memenuhi Persyaratan,4.0,Perlu Evaluasi
Keterkaitan Hasil Asesmen dengan CPL,Rata-rata Nilai CPL,3.67,Sangat Baik
