academic_year,course_name,meeting_number,meeting_content
20241,Analisis Perancangan Sistem Informasi,5,Analisa Sistem Menjelaskan Apa yang dimaksud dengan Analisa Sistem dalam suatu Perancangan Sistem Mahasiswa Diajarkan bagaimana cara Menganalisa Sistem dalam suatu Pembangunan Sistem Informasi
20241,Analisis Perancangan Sistem Informasi,6,Perancangan Sistem Informasi Menjelaskan Pengertian Perancangan Sistem Informasi Mahasiswa Diajarkan tentang Pengertian Sistem Informasi dan Alat-alat bantu dalam perancangan SIstem Informasi
20241,Analisis Perancangan Sistem Informasi,7,Analisa Perancangan Sistem Informasi Alat (Tools) untuk Perancangan Sistem Mahasiswa dikenalkan dan diajarkan bagaimana penggunaan Tools untuk perancangan Sistem dari hasil Analisa Sistem
20241,Analisis Perancangan Sistem Informasi,8,Analisa dan Perancangan Sistem Informasi Merancang Sistem Stok Barang dengan menggunakan DFD (Data Flow Diagram) Mahasiswa Diajarkan bagaimana cara merancang Sistem Stok Barang dengan menggunakan DFD (Data Flow Diagram)
20241,Analisis Perancangan Sistem Informasi,9,"Analisa dan Perancangan Sistem Merancang suatu Sistem Penggajian dengan menggunakan DFD, sekaligus merancang Database dan ERD Mahasiswa diajarkan bagaimana cara merancang Suatu Sistem Penggajian dengan menggunakan DFD, Database dan ERD"
20241,Analisis Perancangan Sistem Informasi,10,Analisa dan Perancangan Sisitem Pembhasan Tugas Perancangan Sistem Penggajian Karyawan Mahasiswa diberikan Penjelasan dan contoh Tancangan Sistem Pengajian Karyawan
20241,Analisis Perancangan Sistem Informasi,11,Analisa dan Perancangan Sistem Menjelaskan perancangan Sistem Penggajian dengan menggunakan DFD Mahasiswa diajarkan Bagaimana Cara merancang Sistem Penggajian dengan menggunakan DFD
20241,Analisis Perancangan Sistem Informasi,12,"Analisa Perancangan Sistem Merancang Suatu Sistem Penggajian Mahasiswa diajarkan bagaimana cara merancang suatu sistem Penggajian, DFD, Database, ERD dan Rancangan mocup"
20241,Analisis Perancangan Sistem Informasi,13,Analisa Perancangan Sistem Informasi Pembuatan Rancangan Sistem Penggajian dengan menggunagakan Data Flow Diagram Mahasiswa diajarkan merancang suatu Sistem Penggajian dengan menggunakan DFD
20241,Analisis Perancangan Sistem Informasi,14,Analisa Perancangan Sistem Menjelaskan kembali materi Kuliah Analisa Perancangan Sisitem (Riview) Mahasiswa diberikan penjelansan kembali materi kuliah Analisa Perancangan Sistem Bahasa Inggris 1
20241,Bahasa Inggris 1,1,Paragraph structure Ebook -EAP 1 kinds of sentencessimplecompoundcomplexcompound complex
20241,Bahasa Inggris 1,2,Social ProblemsSkimming and Scanning Ebook EAP-1 improving reading skill by using Skimming and Scanning
20241,Bahasa Inggris 1,3,paragraph developmnet English for academic purposes the students and the lecturer discuss and do some exercises using zoom mode
20241,Bahasa Inggris 1,4,"Writing an Argument Ebook EAP-1 outlining, structuring an essay and developing thesis statement"
20241,Bahasa Inggris 1,5,Quotations Ebook EAP-1 Direct and Indirect quotations
20241,Bahasa Inggris 1,6,Documenting Sources Ebook EAP-1 In text citation and work cited by using MLA style
20241,Bahasa Inggris 1,7,Presentations handouts group presentation Bahasa Inggris 1
20241,Bahasa Inggris 1,8,Paraphrase Ebook EAP-1 how to paraphrase and combine some techniques
