academic_year,course_name,meeting_number,meeting_content
20241,Komunikasi Data,9,"Network Layer: Address Mapping, Error Reporting, Multicasting, Delivery, Forwarding, and Routing Forouxan, Behrouz, ""Data Communication and Networking"" Network Layer: Address Mapping, Error Reporting, Multicasting, Delivery, Forwarding, and Routing"
20241,Komunikasi Data,10,"Process-to-Process Delivery: UDP, TCP, and SCTP. Congestion Control and Quality of Service Forouzan, Behrouz, ""Data Communication and Networking"". Process-to-Process Delivery: UDP, TCP, and SCTP. Congestion Control and Quality of Service"
20241,Komunikasi Data,11,"Network Management: SNMP, Multimedia Forouzan, Behrouz, ""Data Communication and Networking"". Network Management: SNMP, Multimedia"
20241,Komunikasi Data,12,"Cryptography Forouzan, Behrouz, ""Data Communication and Networking"". Cryptography"
20241,Komunikasi Data,13,"Domain Name System, Remote Logging, Electronic Mail, and File Transfer, WWW and HTTP Forouzan, Behrouz, ""Data Communication and Networking"". Domain Name System, Remote Logging, Electronic Mail, and File Transfer, WWW and HTTP"
20241,Komunikasi Data,14,"Network Security, Security in the Internet: IPSec, SSL/TLS, PGP, VPN, and Firewalls Forouzan, Behrouz, ""Data Communication and Networking"". Network Security, Security in the Internet: IPSec, SSL/TLS, PGP, VPN, and Firewalls Leadership and Management for IT Engineer"
20241,Leadership and Management for IT Engineer,1,"Overview and Introduction to Basic Management Specific sub-topics: 1. The evolution of management (management time line), from classic to modern approaches 2. The importance of management in the professional and business world 3. Functions & Principle of Management 4. Theory X and Y 5. Hierarchy of Needs 1. Robbins. P. Stephen & Coulter, Mary (2012), Management, Prentice Hall 2. Northouse, Peter G. (2007), Leadership, Theory and Practice, Sage Publication 3. Bertocci.I.David, (2009), Leadership in Organization, University Press of America The student should understand the aim of the course, what are expected from the students in finishing the course succesfullyand to have a celar understanding about basic management and its role in the real world"
20241,Leadership and Management for IT Engineer,2,"Decision Making Management Fourteenth Edition, Stephen R. Robbins, Mary Clouter, The students should understand How the Decision Making Process, Functions og Managers, Managers Skill, and the Role of Managers."
20241,Leadership and Management for IT Engineer,3,"Global Management Management Fourteenth Edition. Stephen P.Robbins, Mary Coulter Penjelasan tentang Bagimana mengelola pengaruh Globalisasi dalam perdagangan internasional, kerjasama internasional baik satu kawasan maupun antar kawasan."
20241,Leadership and Management for IT Engineer,4,"Valuing a Diverse Workforce Management Fourteenth Edition, Sthepen P. Robbins, Mary Coulter Peserta Kuliah diharapkan memahami Nilai-nilai yang beragam dalam dunia kerja"
20241,Leadership and Management for IT Engineer,5,"Socially-Conscious Management Management Fourteenth Edition, Stephen P.Robbins, Mary Coulter Peserta diharapkan memahami kondisi sosial masyarakat. Kesadaran Sosial yang beretika dan mermoral akan penting diterapkan sehingga ada yang menjadi panutan"
20241,Leadership and Management for IT Engineer,6,"Managing Change Manageent fourteenth Edition. Stephen P.Robbins, Mary Coulter Peserta/Mahasiswa diharapkan memahami bagimana Mengelola Perubahan. Bagaimana proses perubahan, dan apa yang membuat resistansi terhadap perubahan."
20241,Leadership and Management for IT Engineer,7,Constraints on Managers Management Fourteenth Edition Penjelasan tentang Constraints on Managers dalam Organisasi dan Dunia Kerja
20241,Leadership and Management for IT Engineer,8,Planning and Goals-Setting Management Fourteenth Edition Melalui Topic in peserta akan semakin memahami apa yang dilakukan untuk mencapai tujuan.
20241,Leadership and Management for IT Engineer,9,"Strategic Management Management, Fourteenth Edition Strategic planning diterapkan di organisasi untuk mencapau tujuan"
20241,Leadership and Management for IT Engineer,10,Fostering Entrepreneurship Management Fourteenth Edition Baimana kita mempelalajari dan menjaga keinginan dalam Entrepreneurship
20241,Leadership and Management for IT Engineer,11,Organization Design Management Fourteenth Edition Desain Organsaisi dipengaruhi oleh banyak factor.
20241,Leadership and Management for IT Engineer,12,Organization Aroung Teams Management Fourteenth Edition Pengelolaan Tim-Tim yang ada di suatu Organisasi
20241,Leadership and Management for IT Engineer,13,Humana Resources Management Management Fourteenth Edition Penjelasan Peran dan Fungsi Human Resources Management sangat penting
20241,Leadership and Management for IT Engineer,14,"Interpersonal and Organizational Communication Management Fourteenth Edition Penjelasan dan Pengertian tentang Komunikasi, baik Komunikasi Formal maupun Komunikasi Informal. Komunikasi sangat penting baik secara Interpersonal maupun Ordanizational. Metodologi Penelitian dan Penulisan Ilmiah"
20241,Metodologi Penelitian dan Penulisan Ilmiah,1,"Kontrak Kuliah dan Konsep Dasar Penelitian Larry B. Christensen, R. Burke Johnson, Lisa A Turner, Research Methods, Design, and Analysis, Twelfth Edition, 2014, Person Education Boardens and Abbort (2008), Research Design and Methods: A Process Approach (McGrawHill) Downey (2011), The Literature Review Process. (Presentation) Dahal (2011), Writing a Research proposal and Tips for Literature Review (Paper) Santiago (2011), Introduction to Research in Computing (Presentation) Hasibuan, Zainal. 2007. â€œMetodologi Penelitian pada Bidang Ilmu Komputer dan Teknologi Informasiâ€•. Jakarta: Fakultas Ilmu Komputer Universitas Indonesia (E-book) Menjelaskan mengenai aturan perkuliahan, deskripsi MK, kontrak kuliah, dan pengantar penelitian yang terdiri dari definisi metodologi dan penelitian, jenisjenis penelitian, dan langkah-langkah penelitian"
20241,Metodologi Penelitian dan Penulisan Ilmiah,2,"Identifikasi Masalah dan Hipotesis Larry B. Christensen, R. Burke Johnson, Lisa A Turner, Research Methods, Design, and Analysis, Twelfth Edition, 2014, Person Education Boardens and Abbort (2008), Research Design and Methods: A Process Approach (McGrawHill) Downey (2011), The Literature Review Process. (Presentation) Dahal (2011), Writing a Research proposal and Tips for Literature Review (Paper) Santiago (2011), Introduction to Research in Computing (Presentation) Hasibuan, Zainal. 2007. â€œMetodologi Penelitian pada Bidang Ilmu Komputer dan Teknologi Informasiâ€•. Jakarta: Fakultas Ilmu Komputer Universitas Indonesia (E-book) Mengacu pada beberapa poin yakni: 1) Identifikasi Perumusan Masalah 2) Langkah-langkah Perumusan Masalah 3) Contoh Rumusan Masalah 4) Hipotesis"
20241,Metodologi Penelitian dan Penulisan Ilmiah,3,"Literature Review Larry B. Christensen, R. Burke Johnson, Lisa A Turner, Research Methods, Design, and Analysis, Twelfth Edition, 2014, Person Education Boardens and Abbort (2008), Research Design and Methods: A Process Approach (McGrawHill) Downey (2011), The Literature Review Process. (Presentation) Dahal (2011), Writing a Research proposal and Tips for Literature Review (Paper) Santiago (2011), Introduction to Research in Computing (Presentation) Hasibuan, Zainal. 2007. â€œMetodologi Penelitian pada Bidang Ilmu Komputer dan Teknologi Informasiâ€•. Jakarta: Fakultas Ilmu Komputer Universitas Indonesia (E-book) Menjelaskan tentang konsep dasar literatur studi, definisi, manfaat, tujuan, langkah-langkah hingga sitasi dan contohnya"
20241,Metodologi Penelitian dan Penulisan Ilmiah,4,Metodologi Penelitian dan Penulisan Ilmiah
20241,Metodologi Penelitian dan Penulisan Ilmiah,5,"Week #5 - Tips and Trick Penulisan Bab 1 Sahir, Syafira. 2021. ""Metodologi Penelitian"". Jogja: KBM Indonesia Pertemuan 5 diisi oleh dosen tamu yang merupakan dosen dari Universitas Negeri Makassar untuk melakukan sharing session terkait penulisan Bab 1 Pendahuluan yang ada dalam proposal penelitian"
20241,Metodologi Penelitian dan Penulisan Ilmiah,6,Week #6 - Review Bab 1 https://www.zotero.org/ Melakukan revies bab 1 dan cara penulisan sitasi menggunakan RMS
20241,Metodologi Penelitian dan Penulisan Ilmiah,7,Week #7 - Diskusi Review Perbaikan Bab 1 RMS Review Draf Bab 1 dan Persiapan UTS
20241,Metodologi Penelitian dan Penulisan Ilmiah,8,"Week #8 - Research Validation Larry B. Christensen, R. Burke Johnson, Lisa A Turner, Research Methods, Design, and Analysis, Twelfth Edition, 2014, Person Education Boardens and Abbort (2008), Research Design and Methods: A Process Approach (McGrawHill) Downey (2011), The Literature Review Process. (Presentation) Dahal (2011), Writing a Research proposal and Tips for Literature Review (Paper) Santiago (2011), Introduction to Research in Computing (Presentation) Hasibuan, Zainal. 2007. â€œMetodologi Penelitian pada Bidang Ilmu Komputer dan Teknologi Informasiâ€•. Jakarta: Fakultas Ilmu Komputer Universitas Indonesia (E-book) Membahas secara mendalam tentang Research Validation, yaitu proses penting untuk memastikan validitas, reliabilitas, dan keakuratan hasil penelitian. Topik utama yang diangkat mencakup lima pendekatan validasi,"
20241,Metodologi Penelitian dan Penulisan Ilmiah,9,"Week #9 - Variabel Penelitian Larry B. Christensen, R. Burke Johnson, Lisa A Turner, Research Methods, Design, and Analysis, Twelfth Edition, 2014, Person Education Boardens and Abbort (2008), Research Design and Methods: A Process Approach (McGrawHill) Downey (2011), The Literature Review Process. (Presentation) Dahal (2011), Writing a Research proposal and Tips for Literature Review (Paper) Santiago (2011), Introduction to Research in Computing (Presentation) Hasibuan, Zainal. 2007. â€œMetodologi Penelitian pada Bidang Ilmu Komputer dan Teknologi Informasiâ€•. Jakarta: Fakultas Ilmu Komputer Universitas Indonesia (E-book) Materi ini membahas konsep dasar variabel penelitian dan penerapan analisis statistik dalam penelitian ilmiah, khususnya di bidang informatika. Topik mencakup jenis variabel (bebas, terikat, dan kontrol) serta bagaimana variabel ini digunakan untuk merancang eksperimen yang valid. Selain itu, materi memperkenalkan teknik analisis statistik, termasuk statistik deskriptif untuk meringkas data dan statistik inferensial untuk menguji hipotesis."
20241,Metodologi Penelitian dan Penulisan Ilmiah,10,"Week #11 - Penulisan Bab 2 Larry B. Christensen, R. Burke Johnson, Lisa A Turner, Research Methods, Design, and Analysis, Twelfth Edition, 2014, Person Education Boardens and Abbort (2008), Research Design and Methods: A Process Approach (McGrawHill) Downey (2011), The Literature Review Process. (Presentation) Dahal (2011), Writing a Research proposal and Tips for Literature Review (Paper) Santiago (2011), Introduction to Research in Computing (Presentation) Hasibuan, Zainal. 2007. â€œMetodologi Penelitian pada Bidang Ilmu Komputer dan Teknologi Informasiâ€•. Jakarta: Fakultas Ilmu Komputer Universitas Indonesia (E-book) Materi menyajikan komponen-komponen dan konten dalam Bab 2 Tinjauan Pustaka pada penulisan skripsi, yang memuat landasan teori, penelitian terdahulu, dan kerangka pikir"
20241,Metodologi Penelitian dan Penulisan Ilmiah,11,"Week #10 - Desain Penelitian Larry B. Christensen, R. Burke Johnson, Lisa A Turner, Research Methods, Design, and Analysis, Twelfth Edition, 2014, Person Education Boardens and Abbort (2008), Research Design and Methods: A Process Approach (McGrawHill) Downey (2011), The Literature Review Process. (Presentation) Dahal (2011), Writing a Research proposal and Tips for Literature Review (Paper) Santiago (2011), Introduction to Research in Computing (Presentation) Hasibuan, Zainal. 2007. â€œMetodologi Penelitian pada Bidang Ilmu Komputer dan Teknologi Informasiâ€•. Jakarta: Fakultas Ilmu Komputer Universitas Indonesia (E-book) Pada perkuliahan ini dibahas konsep Research Design, mencakup metode penelitian kuantitatif dan kualitatif, teknik sampling, pengumpulan data, serta validasi data. Penelitian kuantitatif berfokus pada data numerik untuk menguji hubungan antar variabel, sementara penelitian kualitatif bertujuan memahami fenomena secara mendalam. Teknik sampling, baik probability maupun nonprobability, akan dijelaskan untuk memastikan representasi populasi. Proses pengumpulan data, seperti survei, wawancara, dan observasi, juga dibahas untuk memperoleh informasi yang relevan. Selain itu, metode validasi data diuraikan untuk menjamin keabsahan dan keandalan hasil penelitian. Materi ini penting untuk merancang penelitian yang sistematis dan kredibel."
20241,Metodologi Penelitian dan Penulisan Ilmiah,12,"Week #12 - Review Hasil Penulisan Bab 2 Larry B. Christensen, R. Burke Johnson, Lisa A Turner, Research Methods, Design, and Analysis, Twelfth Edition, 2014, Person Education Boardens and Abbort (2008), Research Design and Methods: A Process Approach (McGrawHill) Downey (2011), The Literature Review Process. (Presentation) Dahal (2011), Writing a Research proposal and Tips for Literature Review (Paper) Santiago (2011), Introduction to Research in Computing (Presentation) Hasibuan, Zainal. 2007. â€œMetodologi Penelitian pada Bidang Ilmu Komputer dan Teknologi Informasiâ€•. Jakarta: Fakultas Ilmu Komputer Universitas Indonesia (E-book) Menjelaskan dan mengulas beberapa proposal penelitian, utamanya pada penulisan bab 2"
20241,Metodologi Penelitian dan Penulisan Ilmiah,13,"Week #13 - Konten Bab 3 Larry B. Christensen, R. Burke Johnson, Lisa A Turner, Research Methods, Design, and Analysis, Twelfth Edition, 2014, Person Education Boardens and Abbort (2008), Research Design and Methods: A Process Approach (McGrawHill) Downey (2011), The Literature Review Process. (Presentation) Dahal (2011), Writing a Research proposal and Tips for Literature Review (Paper) Santiago (2011), Introduction to Research in Computing (Presentation) Hasibuan, Zainal. 2007. â€œMetodologi Penelitian pada Bidang Ilmu Komputer dan Teknologi Informasiâ€•. Jakarta: Fakultas Ilmu Komputer Universitas Indonesia (E-book) Mencakup sub bab dalam BAB 3, seperti jenis penelitian, desain penelitian, alat dan bahan, tahapan penelitian, metode pengumpulan data, analisis data, serta mereview cara penulisan daftar pustaka"
20241,Metodologi Penelitian dan Penulisan Ilmiah,14,Kuis Pelaksanaan Kuis Mobile Computing
20241,Mobile Computing,1,Introduction -Introduction to mobile computing Client-server Mobile Computing
20241,Mobile Computing,2,Smart home discussion Jurnal Smart home discussion (presentation)
20241,Mobile Computing,3,Smart home Paper Smart hone
20241,Mobile Computing,4,Smart home discussions Jurnal Smart home discussions
20241,Mobile Computing,5,Mobile network architecture -Mobile network architecture 5G network architecture
20241,Mobile Computing,6,Arsitektur 4G adan 5G -Presentasi komparasi Arsitektur 4G adan 5G
20241,Mobile Computing,7,Security in mobile computing -Security in mobile computing
20241,Mobile Computing,8,Mobile Cloud Computing Jurnal Mobile Cloud Computing
20241,Mobile Computing,9,Mobile security and privacy -Mobile security and privacy
20241,Mobile Computing,10,Mobile edge computing â€” Mobile edge computing
20241,Mobile Computing,11,Mobile edge on vehicular -Mobile edge on vehicular networking
20241,Mobile Computing,12,Artificial Intelligent -Artificial Intelligent in Mobile Computing
20241,Mobile Computing,13,Mobile healthcare -Mobile healthcare
20241,Mobile Computing,14,Review before UAS â€” Review before UAS Pemodelan dan Simulasi Jaringan
20241,Pemodelan dan Simulasi Jaringan,1,"Introduction to Network Simulators Banks, Carson, ""Discrete Event System Simulation"". Network Simulation Tools ns-2 OMNeT++ Introduction to Simulation Discrete-Event System Simulation, Banks, Carson, 4th Edition When Simulation Is the Appropriate Tool When Simulation Is Not Appropriate Advantages and Disadvantages of Simulation Areas of Application Systems and System Environment Components of a System Discrete and Continuous Systems Model of a System Types of Models Discrete-Event System Simulation Steps in a Simulation Study"
20241,Pemodelan dan Simulasi Jaringan,2,"Introduction to Simulation Banks, Carson, ""Discrete-Event System Simulation"". When Simulation Is the Appropriate Tool When Simulation Is Not Appropriate Advantages and Disadvantages of Simulation Areas of Application Systems and System Environment Components of a System Discrete and Continuous Systems Model of a System Types of Models Discrete-Event System Simulation Steps in a Simulation Study Simulation Examples Banks, ""Discrete-System Event Simulation"". To present several examples of simulations that can be performed by devising a simulation table either manually or with a spreadsheet. The simulation table provides a systematic method for tracking the system state over time. To provide insight into the methodology of discrete-system simulation and the descriptive statistics used for predicting system performance."
20241,Pemodelan dan Simulasi Jaringan,3,"General Principles Banks, Carson, ""Discrete-Event System Simulation"". Deals exclusively with dynamic, stochastic systems. Discrete-event models are appropriate for those systems for which changes in system state occur only at discrete points in time. Covers general principles and concepts: Event scheduling/time advance algorithm. The three prevalent world views. Introduces some of the notions of list processing. Simulation Examples Banks, Carson, ""Discrete-Event System Simulation"". To present several examples of simulations that can be performed by devising a simulation table either manually or with a spreadsheet. The simulation table provides a systematic method for tracking the system state over time. To provide insight into the methodology of discrete-system simulation and the descriptive statistics used for predicting system performance. Pemodelan dan Simulasi Jaringan"
20241,Pemodelan dan Simulasi Jaringan,4,"General Principles Banks, Carson, ""Discrete-Event System Simulation:. Develops a common framework for the modeling of complex systems. Covers the basic blocks for all discrete-event simulation models. Introduces and explains the fundamental concepts and methodologies underlying all discrete-event simulation packages. These concepts and methodologies are not tied to any particular simulation package. Introduction to Network Simulators Banks, Carson, ""Discrete-Event System Simulation"". NS-2 OMNET++"
20241,Pemodelan dan Simulasi Jaringan,5,"Statistical Method in Simulation Banks, Carson, ""Discrete Event System Simulation"". Discrete random variables Continuous random variables Cumulative distribution function Expectation Statistical Method in Simulation Banks, Carson, ""Discrete Event System Simulation"". In this section, we will review the following concepts: Discrete random variables Continuous random variables Cumulative distribution function Expectation"
20241,Pemodelan dan Simulasi Jaringan,6,"Queueing Models Banks, Carson, ""Discrete Event System Simulation"". Discuss some well-known models (not development of queueing theories): General characteristics of queues, Meanings and relationships of important performance measures, Estimation of mean measures of performance. Effect of varying input parameters, Mathematical solution of some basic queueing models."
20241,Pemodelan dan Simulasi Jaringan,7,"Random Number Generation Banks, Carson, ""Discrete Event System Simulation"". Discuss the generation of random numbers. ï•® Introduce the subsequent testing for randomness: ï‚¨ Frequency test ï‚¨ Autocorrelation test. Banks, Carson, ""Discrete-Event System Simulation"". Discuss the generation of random numbers. Introduce the subsequent testing for randomness: ï‚¨ Frequency test ï‚¨ Autocorrelation test."
20241,Pemodelan dan Simulasi Jaringan,8,"Random-Variate Generation Banks, Carson, ""Discrete Event System Simulation"". Develop understanding of generating samples from a specified distribution as input to a simulation model. -Illustrate some widely-used techniques for generating random variates. -Inverse-transform technique -Acceptance-rejection technique -Special properties Banks, Carson, ""Discrete Event System Simulation"". Develop understanding of generating samples from a specified distribution as input to a simulation model. -Illustrate some widely-used techniques for generating random variates. -Inverse-transform technique -Acceptance-rejection technique -Special properties"
20241,Pemodelan dan Simulasi Jaringan,9,"Input Modeling Banks, Carson, ""Discrete Event System Simulation"". -Input models provide the driving force for a simulation model. -The quality of the output is no better than the quality of inputs. -In this chapter, we will discuss the 4 steps of input model development: -Collect data from the real system -Identify Input models provide the driving force for a simulation model. -The quality of the output is no better than the quality of inputs. -In this chapter, we will discuss the 4 steps of input model development: -Collect data from the real system -Identify a probability distribution to represent the input process -Choose parameters for the distribution -Evaluate the chosen distribution and parameters for goodness of fit."
20241,Pemodelan dan Simulasi Jaringan,10,"Simulation of Networked Computer Systems Banks, Carson, ""Discrete Event System Simulation"". Simulation of Networked Computer Systems Pemodelan dan Simulasi Jaringan | Verification and Validation of Simulation Models Banks, Carson, ""Discrete Event System Simulation"". The goal of the validation process is: To produce a model that represents true behavior of the system closely enough for decision-making purposes To increase the modelâ€™s credibility to an acceptable level to be used by managers and other decision makers Validation is an integral part of model development Verification â€“building the model correctly (correctly implemented with good input and structure) Validation â€“building the correct model (an accurate representation of the real system) Most methods are informal subjective comparisons while a few are formal statistical procedures"
20241,Pemodelan dan Simulasi Jaringan,11,"Output Analysis for a Single Model Banks, Carson, ""Discrete Event System Simulation"". Distinguish the two types of simulation: transient vs. steady state. -Illustrate the inherent variability in a stochastic discrete-event simulation. -Cover the statistical estimation of performance measures. -Discusses the analysis of transient simulations. -Discusses the analysis of steady-state simulations. Verification and Validation of Simulation Models Banks, Carson, ""Discrete Event System Simulation"". Verification and Validation of Simulation Models"
20241,Pemodelan dan Simulasi Jaringan,12,"Comparison and Evaluation of Alternative System Designs Bank, Carson, ""Discrete Event System Simulation"". For two-system comparisons: -Independent sampling. -Correlated sampling (common random numbers). For multiple system comparisons: -Bonferroni approach: confidence-interval estimation, screening, and selecting the best. -Metamodels Output Analysis for a Single Model Banks, Carson, ""Discrete Event System Simulation"". Distinguish the two types of simulation: transient vs. steady state. -Illustrate the inherent variability in a stochastic discrete-event simulation. -Cover the statistical estimation of performance measures. -Discusses the analysis of transient simulations. -Discusses the analysis of steady-state simulations."
20241,Pemodelan dan Simulasi Jaringan,13,"Comparison and Evaluation of Alternative System Designs Banks, Carson, ""Discrete Event System Simulation"". For two-system comparisons: Independent sampling. Correlated sampling (common random numbers). For multiple system comparisons: Bonferroni approach: confidence-interval estimation, screening, and selecting the best. Metamodels Simulation of Networked Computer Systems Bans, Carson, ""Discrete System Event Simulation"". Simulation of Networked Computer Systems"
20241,Pemodelan dan Simulasi Jaringan,14,Presentation Presentation Presentation Pengantar Intelejensi Artifisial
20241,Pengantar Intelejensi Artifisial,1,"Introduction to artificial intelligence norvig, artificial intelligence: modern approach students are able to explain the main concept of artificial intelligence Introduction to Artificial Intelligence: (a) Introduction/Building Learning Commitment (b) Course Structure and policies (c) What Is AI? (d) The Foundations of Artificial Intelli- gence (e) The History of Artificial Intelligence (f) The State of the Art (g) Risks and Benefits of AI Stuart Russell and Peter Norvig, 2020, Artificial Intelligence: A Modern Approach, Fourth Edition, Prentice Hall. Pengenalan Mata Kuliah dan Pengantar AI"
20241,Pengantar Intelejensi Artifisial,2,"Representation and Reasoning System and Presenting an agent: (a) Agents and Environments (b) Good Behavior: The Concept of Ra- tionality Stuart Russell and Peter Norvig, 2020, Artificial Intelligence: A Modern Approach, Fourth Edition, Prentice Hall. Mempelajari intelligent agents dan latihan mandiri Representing intelligence agent Stuart Russell and Peter Norvig, Artificial Intelligence: A Modern Approach, Third Edition, Prentice Hall. Students are able to explain some of the models for representing intelligence agents"
20241,Pengantar Intelejensi Artifisial,3,"Knowledge and Reasoning Stuart Russell and Peter Norvig, 2020, Artificial Intelligence: A Modern Approach, Fourth Edition, Prentice Hall. Chapter 10 (a) Ontological Engineering (b) Categories and Objects (c) Events (d) Mental Objects and Modal Logic (e) Reasoning Systems for Categories Search Algorithm Artificial Intelligence: A Modern Approach. S. Russell, and P. Norvig. Prentice Hall, 3 edition Students are able to explain the main concept of search algorithm: informed search"
20241,Pengantar Intelejensi Artifisial,4,"Searching: uninformed search algorithms Norvig et al. Introduction to artificial intelligence students are able to explain the main concept of uninformed search applied in agents for solving problems Pengantar Intelejensi Artifisial | Solving Problems by Searching (a) Importance of search for AI (b) Uninformed and informed search Stuart Russell and Peter Norvig, 2020, Artificial Intelligence: A Modern Approach, Fourth Edition, Prentice Hall. (a) Importance of search for AI (b) Uninformed and informed search"
20241,Pengantar Intelejensi Artifisial,5,"Informed search Norvig, introduction to artificial intelligence students are able to explain the main algorithm behind IS Introduction to Machine Learning [1] Stuart Russell and Peter Norvig, 2020, Artificial Intelligence: A Modern Approach, Fourth Edition, Prentice Hall. Chapter 19 Introduction to Machine Learning 1. Pengenalan Machine Learning 2. Tipe Machine Learning 3. Machine Learning Tasks 4. Data Preparation & EDA"
20241,Pengantar Intelejensi Artifisial,6,"Content Satisfaction Problems Norvug, introduction to artificial intelligence Students are able to explain the main concept of csp and its applications or algorithms Introduction to Machine Learning [1] Stuart Russell and Peter Norvig, 2020, Artificial Intelligence: A Modern Approach, Fourth Edition, Prentice Hall. [2] Sebastian Raschka, Yuxi Liu, Vahid Mirjalili, Dmytro Dzhulgakov, 20222. Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python, Packt Publishing. Hands on tutorial: - EDA - Data Preprocess"
20241,Pengantar Intelejensi Artifisial,7,"Constrain Satisfaction Problem (CSP) Norvig, Introduction to Artificial Intelligence Students are able to sokve conplex problem using CSP Introduction to Machine Learning [1] Stuart Russell and Peter Norvig, 2020, Artificial Intelligence: A Modern Approach, Fourth Edition, Prentice Hall. [2] Sebastian Raschka, Yuxi Liu, Vahid Mirjalili, Dmytro Dzhulgakov, 20222. Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python, Packt Publishing. 1. Pemodelan supervised learning 2. Regresi dan Klasifikasi 3. Hands on dan Penugasan"
20241,Pengantar Intelejensi Artifisial,8,"knowledge based agent peter norvig, introduction to Artificial Intelligence Students are able to explain the main concept of KBS Machine Learning: unsupervised [1] Stuart Russell and Peter Norvig, 2020, Artificial Intelligence: A Modern Approach, Fourth Edition, Prentice Hall. [2] Sebastian Raschka, Yuxi Liu, Vahid Mirjalili, Dmytro Dzhulgakov, 20222. Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python, Packt Publishing. - clustering: K-means and hierachical clustering - hands-on k-means"
20241,Pengantar Intelejensi Artifisial,9,"Kelas Pengganti - Planning Stuart Russell and Peter Norvig, Artificial Intelligence: A Modern Approach, Third Edition, Prentice Hall. Students are able to explain the main concept of planning"
20241,Pengantar Intelejensi Artifisial,10,"knowledge based agent Norvig, introduction to artificial intelligence students are able to explain the main concept of knowledge based agent Machine Learning for Unstructured Data (Text) Stuart Russell and Peter Norvig, 2020, Artificial Intelligence: A Modern Approach, Fourth Edition, Prentice Hall. IndoNLU: Benchmark and Resources for Evaluating Indonesian Natural Language Understanding (Wilie et al., AACL 2020) IndoNLG: Benchmark and Resources for Evaluating Indonesian Natural Language Generation (Cahyawijaya et al., EMNLP 2021) Natural Language Understanding and Natural Language Generation"
20241,Pengantar Intelejensi Artifisial,11,"Learning Norvig, introduction to artificial intelligence Students are able to explain the main concept of learnings agent Machine Learning on Text and Image (NLP and Computer Vision) IndoNLU: Benchmark and Resources for Evaluating Indonesian Natural Language Understanding (Wilie et al., AACL 2020) Cahyawijaya, S., Winata, G. I., Wilie, B., Vincentio, K., Li, X., Kuncoro, A., ... & Fung, P. (2021). IndoNLG: Benchmark and resources for evaluating Indonesian natural language generation. arXiv preprint arXiv:2104.08200. Stuart Russell and Peter Norvig, 2020, Artificial Intelligence: A Modern Approach, Fourth Edition, Prentice Hall. Chapter 21 Student presentation on NLP Basic image processing using Machine Learning"
20241,Pengantar Intelejensi Artifisial,12,"Computer Vision [1] Stuart Russell and Peter Norvig, 2020, Artificial Intelligence: A Modern Approach, Fourth Edition, Prentice Hall. [2] Tensforflow Image Classification - Image Classification Using Classical Machine Learning - Iamge Classification Using CNN Learning Algorithm Norvig, introduction to artificial intelligence Students are able to explain the main function of learning algorithm in supervised and unsupervised methods."
20241,Pengantar Intelejensi Artifisial,13,"Machine Learning for Image (Computer Vision) [1] Stuart Russell and Peter Norvig, 2020, Artificial Intelligence: A Modern Approach, Fourth Edition, Prentice Hall. [2] Solem, J. E. (2012). Programming computer vision with Python. Beijing; Cambridge; Sebastopol [etc.]: O'Reilly. ISBN: 9781449316549 1449316549 Presentasi image classification Penjelasan proyek akhir Review on artificial intelligence and additional study items for practices Norvig, Artificial Intelligence Students are able to create an intelligent agent using python."
20241,Pengantar Intelejensi Artifisial,14,"Kelas Pengganti (libur Natal) Project discussion and Presentation. Stuart Russell and Peter Norvig, Artificial Intelligence: A Modern Approach, Third Edition, Prentice Hall. Students are able to explain the main concept used in the final project by combining two capabilities of intelligence agent. Mini Project - Presentation and Discussion Stuart Russell and Peter Norvig, 2020, Artificial Intelligence: A Modern Approach, Fourth Edition, Prentice Hall. Mini Project - Presentation and Discussion: (a) Presentation (b) Discussion Pengantar Teknologi Informasi"
20241,Pengantar Teknologi Informasi,1,Chapter 1 Pearson Chapter 1 Pengantar Teknologi Informasi
20241,Pengantar Teknologi Informasi,2,chapter 2 Pearson chapter 2
20241,Pengantar Teknologi Informasi,3,
20241,Pengantar Teknologi Informasi,4,Chapter 4 Pearson Chapter 4
20241,Pengantar Teknologi Informasi,5,chapter 5 Peaerson Chapter 5
20241,Pengantar Teknologi Informasi,6,CHAPTER 6 Pearson CHAPTER 6
20241,Pengantar Teknologi Informasi,7,Chapter 7 Pearson Chapter 7
20241,Pengantar Teknologi Informasi,8,Chapter 8 Pearson Chapter 8
20241,Pengantar Teknologi Informasi,9,Chapter 9 Pearson Chapter 9
20241,Pengantar Teknologi Informasi,10,
20241,Pengantar Teknologi Informasi,11,Chapter 11 Pearson Chapter 11
20241,Pengantar Teknologi Informasi,12,Chaptet 12 Pearson Chapter 12
20241,Pengantar Teknologi Informasi,13,Chapter 13 Pearson Chapter 13
20241,Pengantar Teknologi Informasi,14,Chapter 14 Pearson Chapter 14 Rekayasa Ilmu
20241,Rekayasa Ilmu,1,"Introduction to Knowledge Engineering Kendal S. An Introduction to Knowledge Engineering, 7th Edition Students are able to explain the main concept of knowledge engineering"
20241,Rekayasa Ilmu,2,"Knowledge based system Kendal S. An Introduction to Knowledge Engineering, 7th Edition Students are able to explain the main concept of KBS"
