kategori,text_clean
visi,"menjadi program studi informatika unggulan dan pusat pengembangan ilmu pengetahuan teknologi berwawasan global di bidang informatika yang dapat menghasilkan tenaga profesional unggul dengan keahlian dalam informatika media, informatika data, informatika bergerak dan jaringan komputer."
misi,"1. menghasilkan lulusan dengan kompetensi yang tinggi dalam desain dan aplikasi teknologi informatika media, informatika data, informatika bergerak dan jaringan komputer. 2. menerapkan sistem pendidikan tinggi berstandar internasional. 3. memfasilitasi kegiatan penelitian dan pengembangan melalui kerjasama nasional dan internasional. 4. menyelengarakan riset ungulan melalui kerjasama lembaga riset dalam negeri maupun luar negeri. 5. memberikan pengetahuan, keterampilan dan kewirausahaan melalui pendidikan kreatif dan inovatif. 6. menghasilkan lulusan dengan kepribadian yang baik, berintegritas tinggi, memiliki kualitas jiwa kepemimpinan, kerjasama tim melalui experiential learning dengan semangat nasionalisme. 7. menyelenggarakan pendidikan informatika secara profesional melalui sistem pendidikan tinggi yang terencana dan terintegrasi, terangkum dalam kurikulum yang unik dan selalu mengikuti perkembangan zaman. 8. menyelenggarakan program pendidikan tinggi di bidang informatika yang ikut mencerdaskan bangsa, memelihara kesatuan dan persatuan, dan menjamin kebebasan akademik yang bertanggung jawab berlandaskan integritas keilmuan dan kepakaran. 9. menghasilkan lulusan yang mandiri, berbudi luhur, dan mampu menerapkan etika profesi baik di lingkup nasional maupun internasional. 10. melaksanakan penelitian dan pengembangan inovasi teknologi tepat guna dalam bidang informatika."
